frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c, AU09_c, AU23_r,s_confidence,fac_hapintsoft,fac_sadintsoft,fac_surintsoft,fac_feaintsoft,fac_angintsoft,fac_disintsoft,fac_conintsoft,fac_paiintsoft,fac_negintsoft,fac_posintsoft,neu_exp,fac_comlowintsoft,fac_comuppintsoft,cai_exp,fac_comintsoft,fac_happres,fac_sadpres,fac_surpres,fac_feapres,fac_angpres,fac_dispres,fac_conpres,fac_hapinthard,fac_sadinthard,fac_surinthard,fac_feainthard,fac_anginthard,fac_disinthard,fac_coninthard,fac_paiinthard,fac_neginthard,fac_posinthard,neu_exp_full,cai_exp_full,fac_comlowinthard,fac_comuppinthard,fac_cominthard,error_reason,dbm_master_url
1,0,0.0,0.98,1,0.37,0.29,1.44,0.0,0.0,1.34,0.0,0.0,0.0,0.0,0.0,0.16,0.34,0.04,0.03,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000001,0,0.15083333333333335,0.06166666666666667,0.15083333333333335,0.24,0,0,0.24,0.10833333333333335,0,0.06166666666666667,0,0.6033333333333334,0.15083333333333335,0.08619047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.15083333333333335,0.0,Pass,sample_data/subj01_timepoint01.mp4
2,0,0.033,0.98,1,0.59,0.45,1.54,0.02,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.24,0.29,0.01,0.07,0.55,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.9800000000000001,0,0.1775,0.09833333333333333,0.19777777777777775,0.24749999999999997,0,0,0.24749999999999997,0.12455555555555553,0,0.09833333333333333,0,0.721111111111111,0.4158333333333333,0.103015873015873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.1775,0.0,Pass,sample_data/subj01_timepoint01.mp4
3,0,0.067,0.98,1,0.76,0.59,1.46,0.02,0.0,1.19,0.0,0.0,0.0,0.0,0.03,0.28,0.37,0.02,0.06,1.48,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.12,0.9800000000000001,0,0.18499999999999997,0.1125,0.16666666666666666,0.22083333333333333,0,0,0.22083333333333333,0.1145,0,0.1125,0,0.6849999999999999,0.4816666666666667,0.09785714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.18499999999999997,0.0,Pass,sample_data/subj01_timepoint01.mp4
4,0,0.1,0.98,1,0.8,0.7,1.42,0.02,0.0,1.03,0.0,0.0,0.0,0.0,0.03,0.33,0.37,0.12,0.08,2.29,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08,0.9800000000000001,0,0.18499999999999997,0.125,0.16458333333333333,0.2041666666666667,0,0,0.2041666666666667,0.11074999999999999,0,0.125,0,0.67875,0.4733333333333333,0.09696428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.18499999999999997,0.0,Pass,sample_data/subj01_timepoint01.mp4
5,0,0.133,0.98,1,0.79,0.65,1.46,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.03,0.31,0.38,0.14,0.15,2.38,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9800000000000001,0,0.24333333333333332,0.10833333333333334,0.17555555555555558,0.20916666666666664,0,0,0.20916666666666664,0.1256111111111111,0,0.10833333333333334,0,0.7363888888888889,0.5266666666666667,0.1051984126984127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,Pass,sample_data/subj01_timepoint01.mp4
6,0,0.16699999999999998,0.98,1,0.69,0.58,1.67,0.0,0.0,1.43,0.01,0.0,0.0,0.0,0.0,0.3,0.32,0.12,0.26,1.73,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.9800000000000001,0,0.2783333333333333,0.09666666666666666,0.20444444444444443,0.2583333333333333,0,0,0.2583333333333333,0.1482222222222222,0,0.09666666666666666,0,0.8377777777777777,0.6133333333333333,0.11968253968253968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,Pass,sample_data/subj01_timepoint01.mp4
7,0,0.2,0.98,1,0.56,0.42,1.7,0.0,0.0,1.66,0.01,0.0,0.0,0.0,0.0,0.21,0.4,0.02,0.31,0.95,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.19,0.9800000000000001,0,0.2833333333333333,0.06999999999999999,0.21000000000000002,0.27999999999999997,0,0,0.27999999999999997,0.15466666666666667,0,0.06999999999999999,0,0.8433333333333333,0.63,0.12047619047619047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,Pass,sample_data/subj01_timepoint01.mp4
8,0,0.233,0.98,1,0.52,0.32,1.64,0.0,0.0,1.7,0.01,0.0,0.0,0.0,0.0,0.18,0.46,0.03,0.34,0.4,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.9800000000000001,0,0.2733333333333333,0.05333333333333334,0.20333333333333334,0.2783333333333333,0,0,0.2783333333333333,0.151,0,0.05333333333333334,0,0.8083333333333333,0.61,0.11547619047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,Pass,sample_data/subj01_timepoint01.mp4
9,0,0.267,0.98,1,0.49,0.16,1.54,0.0,0.0,1.64,0.0,0.0,0.0,0.0,0.02,0.11,0.51,0.05,0.3,0.12,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.9800000000000001,0,0.1691666666666667,0.08166666666666667,0.2038888888888889,0.26499999999999996,0,0,0.26499999999999996,0.12761111111111112,0,0.08166666666666667,0,0.7197222222222222,0.4425,0.10281746031746031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.1691666666666667,0.0,Pass,sample_data/subj01_timepoint01.mp4
10,0,0.3,0.98,1,0.5,0.14,1.56,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.06,0.11,0.49,0.05,0.27,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.9800000000000001,0,0.17166666666666666,0.08333333333333333,0.20722222222222222,0.26916666666666667,0,0,0.26916666666666667,0.12961111111111112,0,0.08333333333333333,0,0.7313888888888889,0.44999999999999996,0.10448412698412698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.17166666666666666,0.0,Pass,sample_data/subj01_timepoint01.mp4
