l0_x,l1_x,l2_x,l3_x,l4_x,l5_x,l6_x,l7_x,l8_x,l9_x,l10_x,l11_x,l12_x,l13_x,l14_x,l15_x,l16_x,l17_x,l18_x,l19_x,l20_x,l21_x,l22_x,l23_x,l24_x,l25_x,l26_x,l27_x,l28_x,l29_x,l30_x,l31_x,l32_x,l33_x,l34_x,l35_x,l36_x,l37_x,l38_x,l39_x,l40_x,l41_x,l42_x,l43_x,l44_x,l45_x,l46_x,l47_x,l48_x,l49_x,l50_x,l51_x,l52_x,l53_x,l54_x,l55_x,l56_x,l57_x,l58_x,l59_x,l60_x,l61_x,l62_x,l63_x,l64_x,l65_x,l66_x,l67_x,l0_y,l1_y,l2_y,l3_y,l4_y,l5_y,l6_y,l7_y,l8_y,l9_y,l10_y,l11_y,l12_y,l13_y,l14_y,l15_y,l16_y,l17_y,l18_y,l19_y,l20_y,l21_y,l22_y,l23_y,l24_y,l25_y,l26_y,l27_y,l28_y,l29_y,l30_y,l31_y,l32_y,l33_y,l34_y,l35_y,l36_y,l37_y,l38_y,l39_y,l40_y,l41_y,l42_y,l43_y,l44_y,l45_y,l46_y,l47_y,l48_y,l49_y,l50_y,l51_y,l52_y,l53_y,l54_y,l55_y,l56_y,l57_y,l58_y,l59_y,l60_y,l61_y,l62_y,l63_y,l64_y,l65_y,l66_y,l67_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz
472.107,472.959,475.864,481.296,492.933,511.048,531.889,558.432,593.188,628.92,660.013,686.872,708.537,722.545,730.37,736.025,739.818,489.993,504.388,529.109,555.548,579.963,631.668,659.041,685.095,708.816,722.251,605.505,604.796,603.988,603.231,569.266,585.371,602.342,619.828,635.412,519.087,534.088,550.952,566.608,550.74,534.138,643.39,660.329,677.123,690.891,677.061,660.695,539.999,563.422,584.838,601.928,622.162,644.329,664.358,643.951,622.157,601.119,582.855,561.86,548.571,583.986,601.568,622.051,656.368,621.698,601.281,583.576,279.254,314.426,348.898,382.912,415.968,447.449,476.263,500.74,509.362,504.82,484.473,458.349,428.351,395.156,360.158,324.823,288.805,257.843,239.349,232.258,235.349,244.411,244.807,236.373,235.83,245.309,264.206,275.694,302.986,330.242,357.953,366.259,373.951,380.564,374.914,369.134,279.036,272.551,272.734,280.149,282.927,283.391,281.77,274.825,276.124,282.791,286.251,285.21,407.775,404.206,403.811,408.093,404.656,406.212,410.239,425.88,433.904,435.881,433.269,424.895,410.17,414.498,417.161,415.022,412.094,416.452,418.75,415.939,32.0687,-2.09854,408.04,0.122978,0.0805098,0.0279987
475.075,475.361,477.799,483.01,494.383,512.053,532.545,558.501,592.461,627.595,658.256,685.201,707.42,722.221,730.971,737.351,741.77,493.689,507.353,531.881,558.263,582.537,635.526,662.088,687.531,710.853,724.511,608.423,607.351,606.158,604.919,570.996,587.047,604.007,621.408,637.126,521.711,537.039,554.168,569.98,553.827,536.953,647.317,664.743,681.813,695.457,681.628,664.894,541.805,565.451,586.728,603.513,623.485,645.577,665.507,645.014,623.172,602.461,584.494,563.759,550.327,585.557,602.873,623.072,657.554,622.772,602.702,585.235,279.61,313.941,347.218,380.693,413.611,445.249,474.396,499.162,508.231,504.419,485.286,460.296,430.653,397.58,362.146,326.508,290.056,256.983,238.046,230.924,234.285,243.549,244.864,236.745,236.659,246.373,265.383,275.564,302.562,329.464,356.796,365.34,373.276,379.995,374.651,369.356,278.391,271.572,271.968,279.98,282.795,283.078,282.877,275.938,277.582,284.796,288.236,286.925,406.567,403.633,403.394,407.862,404.667,406.724,411.07,426.495,434.004,435.632,432.72,424.044,409.105,413.938,416.857,414.939,412.725,417.184,419.044,415.845,33.0709,-2.14497,408.38,0.117692,0.0771812,0.0427652
477.942,477.575,479.423,484.272,495.303,512.51,532.964,558.593,592.696,628.079,658.864,686.098,708.634,723.752,732.925,739.679,744.326,496.897,510.725,535.132,561.385,585.558,639.963,666.638,692.06,715.009,728.018,611.729,610.361,608.899,607.374,573.03,589.111,606.12,623.508,639.246,524.396,539.953,557.169,573.208,556.851,539.826,650.266,668.152,685.296,699.042,684.986,668.073,543.144,566.959,588.458,605.202,625.262,647.329,667.052,646.519,624.646,603.878,585.905,565.085,551.627,587.149,604.435,624.702,659.105,624.439,604.309,586.868,278.538,312.614,345.791,379.301,412.162,443.912,473.224,498.212,507.734,504.212,485.282,460.534,431.208,398.531,363.527,328.325,292.294,255.442,236.913,229.897,233.384,242.71,244.612,237.106,237.5,248.035,267.445,275.318,302.247,329.04,356.241,364.739,372.708,379.527,374.521,369.584,277.184,270.598,271.188,279.442,281.906,282.073,283.204,276.469,278.39,285.71,288.939,287.394,405.743,403.062,402.831,407.491,404.45,406.982,411.545,426.957,434.416,435.869,432.747,423.677,408.387,413.59,416.668,414.999,413.159,417.19,418.827,415.423,33.98,-2.23137,405.742,0.114375,0.0756933,0.0553553
480.117,479.605,481.239,485.686,496.409,513.396,533.19,558.745,592.898,628.242,659.283,686.765,709.684,725.21,734.569,741.446,746.462,499.363,513.759,538.211,564.289,588.138,642.634,669.886,695.417,718.109,730.281,613.912,612.462,610.904,609.314,574.952,590.849,607.607,625.09,640.766,527.398,542.585,559.463,574.798,558.985,542.373,651.985,668.903,685.72,699.117,685.405,669.042,544.225,567.982,589.465,606.284,626.431,648.506,668.012,647.55,625.577,604.722,586.675,565.876,552.758,588.155,605.534,625.869,660.165,625.523,605.278,587.758,276.988,311.214,344.692,378.113,411.019,442.914,472.377,497.78,507.683,504.495,485.618,461.006,432.165,399.974,365.396,330.369,294.618,254.297,236.138,229.411,233.026,242.431,244.593,237.113,237.648,248.41,267.898,275.259,302.167,329.008,356.268,364.13,372.205,379.191,374.242,369.165,276.31,269.911,270.583,278.596,280.973,280.943,282.603,276.009,277.813,285.151,288.119,286.587,405.486,402.533,402.626,407.338,404.581,406.943,411.822,426.801,434.003,435.246,432.01,422.936,408.144,413.208,416.354,414.874,413.435,417.03,418.569,415.141,35.0686,-2.36715,409.538,0.115708,0.0788442,0.0634013
482.052,480.986,482.292,486.638,497.31,514.274,534.078,559.063,592.845,628.122,659.226,686.871,709.921,725.602,735.252,742.366,747.51,501.696,516.194,540.723,566.735,590.46,645.08,671.735,696.951,719.394,731.575,616.122,614.301,612.409,610.472,575.98,591.875,608.631,626.096,641.827,528.62,544.136,561.199,576.804,560.602,543.732,654.239,671.773,688.814,702.268,688.389,671.68,544.886,568.749,590.374,606.983,626.987,649.142,668.857,647.928,625.764,605.04,587.169,566.42,553.359,588.935,606.133,626.305,660.837,625.979,605.866,588.527,275.611,310.083,343.839,377.64,410.876,442.804,471.974,496.927,506.896,504.194,485.958,462.086,433.624,401.747,367.453,332.768,297.466,253.028,234.701,228.068,232.04,241.98,244.895,237.684,238.39,249.097,268.686,275.108,301.794,328.349,355.345,363.696,371.728,378.753,374.144,369.421,275.446,269.089,270.026,278.582,280.697,280.434,283.807,277.186,279.208,286.915,289.799,288.062,404.501,401.796,401.852,406.763,404.197,407.192,412.531,427.212,434.132,435.14,431.783,422.474,407.264,412.69,415.994,414.789,413.999,417.127,418.394,414.836,35.5269,-2.3701,407.766,0.108139,0.0812775,0.0740918
482.825,481.7,482.966,487.218,497.639,514.25,533.811,558.462,592.575,628.514,660.302,688.163,710.859,726.141,735.835,743.205,748.65,502.969,517.66,542.356,568.483,592.32,646.654,673.189,698.333,720.608,732.73,617.618,615.424,613.201,610.957,576.472,592.34,609.051,626.524,642.273,529.81,545.562,562.723,578.34,561.991,544.984,655.589,673.504,690.633,704.018,690.047,673.184,545.324,569.001,590.593,607.264,627.468,649.505,668.996,648.092,625.985,605.061,587.112,566.513,553.725,589.123,606.373,626.75,660.857,626.455,606.109,588.725,274.435,309.143,343.039,377.023,410.55,442.614,471.911,496.864,506.884,504.14,485.508,461.354,432.64,400.947,367.492,333.986,299.77,251.923,233.639,227.058,231.25,241.611,245.099,238.291,239.187,249.86,269.263,275.159,301.715,328.103,354.904,363.608,371.669,378.788,374.358,369.752,274.757,268.417,269.529,278.442,280.394,279.981,284.61,278.07,280.286,288.272,291.054,289.12,404.21,401.459,401.52,406.609,404.175,407.476,413.216,427.312,434.146,435.128,431.687,422.356,406.953,412.504,415.958,414.918,414.539,417.175,418.424,414.753,35.7945,-2.37827,406.411,0.10835,0.0842664,0.0803748
483.387,482.073,483.105,487.193,497.477,513.961,533.56,558.156,592.432,628.635,660.461,688.301,710.949,726.235,736.023,743.554,749.095,504.081,518.801,543.256,569.123,592.857,648.515,675.016,699.904,721.82,733.63,618.686,616.353,614,611.62,576.933,592.761,609.502,627.02,642.791,530.595,546.335,563.378,578.996,562.664,545.789,656.576,674.525,691.514,704.839,690.8,674.073,545.589,569.239,590.781,607.482,627.774,649.701,668.939,648.157,626.07,605.09,587.115,566.633,553.924,589.239,606.522,626.983,660.882,626.671,606.264,588.861,273.834,308.449,342.326,376.416,410.028,442.211,471.561,496.606,506.93,504.382,485.921,461.841,433.201,401.611,368.193,334.608,300.287,251.306,233.392,226.852,231.005,241.067,244.806,238.48,239.668,250.557,269.842,274.861,301.542,328.054,354.958,363.214,371.435,378.704,374.383,369.834,274.322,268.211,269.3,277.972,279.859,279.46,284.355,278.268,280.649,288.511,291.064,288.967,403.967,401.222,401.445,406.622,404.253,407.692,413.561,427.457,434.156,435.058,431.47,422.022,406.718,412.396,415.935,414.968,414.832,417.138,418.304,414.528,35.957,-2.41078,405.529,0.106221,0.0826598,0.0856427
483.381,482.014,482.992,486.966,497.117,513.452,533.015,557.841,592.37,628.665,660.618,688.383,710.868,725.976,735.71,743.32,749.02,504.043,518.877,543.484,569.439,593.219,648.782,675.435,700.461,722.378,734.043,618.787,616.383,613.953,611.495,576.848,592.672,609.342,626.82,642.568,530.902,546.666,563.795,579.359,563.025,546.068,656.565,674.598,691.669,704.94,690.946,674.153,545.162,568.881,590.438,607.262,627.704,649.682,668.948,648.154,626.071,604.937,586.85,566.312,553.515,588.915,606.31,626.92,660.829,626.659,606.101,588.581,273.75,308.356,342.141,376.144,409.721,442.053,471.728,496.987,507.259,504.582,485.926,461.729,433.018,401.453,368.274,335.065,301.085,251.133,233.15,226.719,231.035,241.353,245.361,238.993,240.226,251.237,270.659,275.138,301.723,328.171,355.009,363.399,371.597,378.883,374.583,370.076,274.134,267.958,269.151,278.053,279.9,279.407,284.836,278.634,281.026,289.052,291.647,289.521,403.797,401.258,401.598,406.819,404.523,407.912,413.733,427.384,433.991,434.856,431.255,421.85,406.578,412.493,416.101,415.176,414.987,417.051,418.197,414.372,35.9612,-2.35719,405.753,0.10584,0.0831035,0.0880742
482.77,481.529,482.483,486.307,496.481,512.972,532.362,557.141,591.422,627.42,659.305,687.071,709.816,725.233,735.153,742.909,748.815,503.684,518.936,543.727,569.685,593.423,648.471,675.464,700.534,722.522,734.125,618.628,616.269,613.867,611.453,576.706,592.434,609.017,626.552,642.274,531.068,546.638,563.495,578.734,562.711,546.093,656.348,673.788,690.535,703.64,689.755,673.412,544.817,568.555,590.009,606.872,627.342,649.131,668.089,647.549,625.617,604.486,586.357,565.907,553.244,588.465,605.908,626.545,660.07,626.255,605.68,588.13,273.132,307.673,341.59,375.68,409.445,442.002,471.846,497.37,507.811,505.19,486.498,462.382,434.047,402.837,369.667,336.185,301.953,250.866,233.29,227.157,231.542,241.762,245.5,239.117,240.417,251.396,270.672,275.095,301.833,328.469,355.513,363.181,371.521,378.913,374.595,369.972,273.942,268.024,269.09,277.43,279.357,278.892,283.848,278.056,280.423,288.157,290.532,288.398,404.091,401.373,401.839,407.02,404.732,407.936,413.791,427.314,433.923,434.822,431.191,421.859,406.847,412.674,416.252,415.257,415.088,416.824,418.048,414.268,35.8926,-2.34513,407.396,0.105483,0.0799432,0.0910093
481.681,480.317,481.259,485.09,495.073,511.348,530.807,555.829,590.415,626.552,658.42,686.124,708.827,724.227,734.18,741.896,747.737,502.648,517.916,542.82,568.909,592.657,647.56,674.4,699.518,721.535,733.176,617.808,615.484,613.117,610.719,575.757,591.584,608.258,625.819,641.567,529.9,545.586,562.537,577.949,561.797,545.065,655.507,673.165,690.039,703.216,689.329,672.816,543.613,567.427,589.076,605.89,626.292,648.222,667.376,646.644,624.588,603.493,585.407,564.796,552.09,587.519,604.927,625.468,659.279,625.216,604.684,587.157,273.602,308.068,341.787,375.606,409.261,441.827,471.785,497.417,507.928,505.353,486.729,462.699,434.359,403.212,370.249,337.018,303.098,251.04,233.293,227.226,231.821,242.424,246.315,239.619,240.648,251.446,270.787,275.613,302.28,328.829,355.795,363.556,371.88,379.258,374.935,370.297,274.052,268.087,269.234,277.853,279.632,279.106,284.653,278.596,280.893,288.772,291.215,289.126,404.208,401.632,402.066,407.299,405.095,408.411,414.347,427.919,434.528,435.338,431.709,422.251,406.996,412.873,416.488,415.637,415.611,417.564,418.698,414.897,35.3111,-2.14687,406.326,0.107514,0.0782443,0.0923809
