aco_fm1,aco_fm2,aco_fm3,aco_fm4,error_reason,Frames,dbm_master_url
431.35906964162285,1490.1407662324634,2325.056183754005,3807.9423159746675,Pass,65,sample_data/subj02_timepoint01.mp4
430.425041681917,1499.597539915931,2322.9547381378384,3820.293186363945,Pass,66,sample_data/subj02_timepoint01.mp4
428.1257736530874,1505.5718110099685,2321.6163582451522,3802.2222721657727,Pass,67,sample_data/subj02_timepoint01.mp4
423.6781653907448,1508.3839629716142,2320.919832814386,3759.865306857453,Pass,68,sample_data/subj02_timepoint01.mp4
417.190440136876,1508.854625984751,2320.830434071614,3709.940543974027,Pass,69,sample_data/subj02_timepoint01.mp4
410.09823480525336,1507.567653191373,2321.3791748095728,3666.0736565060256,Pass,70,sample_data/subj02_timepoint01.mp4
404.61448444043236,1504.2323328720029,2322.454246684873,3632.606751902561,Pass,71,sample_data/subj02_timepoint01.mp4
402.2733835782519,1497.548642460114,2323.6711560822737,3607.144965669711,Pass,72,sample_data/subj02_timepoint01.mp4
403.22173231503496,1486.060400668823,2324.5303409365943,3585.818386334871,Pass,73,sample_data/subj02_timepoint01.mp4
406.77681299091915,1469.8840269876648,2324.739668258424,3567.316928873281,Pass,74,sample_data/subj02_timepoint01.mp4
412.10976118921536,1452.0971777054688,2324.364596719529,3553.8699575267447,Pass,75,sample_data/subj02_timepoint01.mp4
418.5251786903826,1437.9043942235571,2323.67908786073,3549.1742618793455,Pass,76,sample_data/subj02_timepoint01.mp4
425.4841754222094,1431.6058630377227,2322.9458951127162,3555.536501216943,Pass,77,sample_data/subj02_timepoint01.mp4
432.47928751972773,1434.4954732156737,2322.3215880642115,3572.6284782346,Pass,78,sample_data/subj02_timepoint01.mp4
438.8605157818417,1445.4257627573095,2321.840885019966,3598.0626393911552,Pass,79,sample_data/subj02_timepoint01.mp4
443.76367563701035,1462.3749555938518,2321.430726015217,3628.5135007164563,Pass,80,sample_data/subj02_timepoint01.mp4
446.25405053720766,1483.3282541783003,2320.947300773902,3660.2784934063898,Pass,81,sample_data/subj02_timepoint01.mp4
445.69235352125725,1506.371086859432,2320.2075887537612,3689.152452636562,Pass,82,sample_data/subj02_timepoint01.mp4
442.14311228689877,1529.53808382572,2318.9906132503575,3710.42002084276,Pass,83,sample_data/subj02_timepoint01.mp4
436.5072557060998,1550.8452997956233,2317.00787328554,3719.6593527655577,Pass,84,sample_data/subj02_timepoint01.mp4
430.22731892826357,1568.6370860522002,2313.856442573553,3713.706650170858,Pass,85,sample_data/subj02_timepoint01.mp4
424.79727570112647,1582.0697272240125,2308.967395796101,3691.0340032440536,Pass,86,sample_data/subj02_timepoint01.mp4
421.45059328378153,1591.4521563117974,2301.573471153266,3652.4922257035705,Pass,87,sample_data/subj02_timepoint01.mp4
421.11033332418975,1598.2934411530484,2290.7202653214017,3602.90770682827,Pass,88,sample_data/subj02_timepoint01.mp4
424.40216695593506,1604.9549095528232,2275.2063303021782,3550.8113904239863,Pass,89,sample_data/subj02_timepoint01.mp4
431.72609404273237,1613.811694804856,2253.187409261844,3504.170974721109,Pass,90,sample_data/subj02_timepoint01.mp4
443.5946131713669,1625.6091452813037,2221.667555815345,3466.210845924655,Pass,91,sample_data/subj02_timepoint01.mp4
461.2121044733644,1634.4611979600036,2178.447576888316,3435.560902422196,Pass,92,sample_data/subj02_timepoint01.mp4
487.072750453825,1615.3405772946812,2131.2559658584137,3409.5811548219403,Pass,93,sample_data/subj02_timepoint01.mp4
524.43793098565,1532.7579287942121,2095.845889206321,3388.2585300282562,Pass,94,sample_data/subj02_timepoint01.mp4
569.4252193871016,1415.5363427815023,2076.789083867454,3375.1252162942437,Pass,95,sample_data/subj02_timepoint01.mp4
598.6560638064072,1377.9717426288146,2074.063622970035,3372.8209471781065,Pass,96,sample_data/subj02_timepoint01.mp4
602.4843541122716,1422.508779367633,2094.6662495080413,3379.9063943514957,Pass,97,sample_data/subj02_timepoint01.mp4
597.1474627895956,1459.912219932224,2145.103597476173,3392.701084564022,Pass,98,sample_data/subj02_timepoint01.mp4
591.2880073993624,1468.351671841731,2206.3279527914065,3407.763643253008,Pass,99,sample_data/subj02_timepoint01.mp4
585.2122575395584,1465.6798160842961,2257.1721726543888,3423.3642691511013,Pass,100,sample_data/subj02_timepoint01.mp4
577.6622822165849,1461.7436416737673,2293.5303259090415,3440.8833819264087,Pass,101,sample_data/subj02_timepoint01.mp4
567.7621047587801,1458.7832360163181,2318.4050796095516,3466.3411079612238,Pass,102,sample_data/subj02_timepoint01.mp4
555.4973279248185,1456.7975438411952,2335.110761633278,3511.4896146072797,Pass,103,sample_data/subj02_timepoint01.mp4
542.1328303602312,1455.0237390942038,2345.957387502727,3593.7282474051767,Pass,104,sample_data/subj02_timepoint01.mp4
530.2398082199186,1452.164415307312,2352.506367295923,3726.3922611511075,Pass,105,sample_data/subj02_timepoint01.mp4
523.1079631183765,1446.9139631067744,2356.058431856966,3863.589646975006,Pass,106,sample_data/subj02_timepoint01.mp4
524.8854537676575,1439.554347149957,2357.8743083584964,3941.9839564700733,Pass,107,sample_data/subj02_timepoint01.mp4
548.3848049708201,1437.7014113129533,2359.093257825273,3976.4804523565485,Pass,108,sample_data/subj02_timepoint01.mp4
696.8699287641759,1491.9831968523129,2360.6237445204797,3991.737989299648,Pass,109,sample_data/subj02_timepoint01.mp4
825.4865280408288,1623.0447019434712,2363.097852436494,3999.1701516451863,Pass,110,sample_data/subj02_timepoint01.mp4
857.3072630920558,1725.921942085979,2366.8194221707254,4003.37824250041,Pass,111,sample_data/subj02_timepoint01.mp4
852.6791395540046,1788.3490243563897,2371.7343092241604,4006.5325665022956,Pass,112,sample_data/subj02_timepoint01.mp4
830.6175408169772,1824.8312741554696,2377.4946463515184,4009.896483887311,Pass,113,sample_data/subj02_timepoint01.mp4
791.9059095133044,1846.2874972407828,2383.591238154728,4014.3196747273273,Pass,114,sample_data/subj02_timepoint01.mp4
738.0263356643436,1861.2166307941434,2389.474071998565,4020.359244242729,Pass,115,sample_data/subj02_timepoint01.mp4
679.5815558067796,1875.946905335161,2394.6262042527824,4028.239451849331,Pass,116,sample_data/subj02_timepoint01.mp4
634.5547837345108,1893.6737619587716,2398.600230638094,4037.7576178738896,Pass,117,sample_data/subj02_timepoint01.mp4
610.9648977589104,1915.026001966235,2401.065509556204,4048.332201195122,Pass,118,sample_data/subj02_timepoint01.mp4
602.9169463969357,1939.5864585288289,2402.152070693125,4059.438705083212,Pass,119,sample_data/subj02_timepoint01.mp4
601.5963771990376,1966.3045994013264,2404.0387426572775,4071.3785129983603,Pass,120,sample_data/subj02_timepoint01.mp4
601.0561455988935,1991.0906640943824,2414.8124166881767,4085.9264196346635,Pass,121,sample_data/subj02_timepoint01.mp4
599.5048760130148,2007.0307854224993,2448.340544729498,4106.534398426397,Pass,122,sample_data/subj02_timepoint01.mp4
599.3698040566698,2013.4810627600332,2513.1908152331384,4138.533079740216,Pass,123,sample_data/subj02_timepoint01.mp4
605.9023532030333,2015.4619537111523,2609.924781946877,4191.098343646955,Pass,124,sample_data/subj02_timepoint01.mp4
623.9646224432208,2017.21390352587,2733.671054357593,4285.428738798459,Pass,125,sample_data/subj02_timepoint01.mp4
654.6860570146623,2020.5384991733376,2868.0475295746273,4477.215994430014,Pass,126,sample_data/subj02_timepoint01.mp4
694.9498951341985,2025.507578021215,2983.3960532217925,4738.751634459202,Pass,127,sample_data/subj02_timepoint01.mp4
739.6675394362424,2031.5318895105627,3063.842247475755,4809.87503896858,Pass,128,sample_data/subj02_timepoint01.mp4
783.493112307646,2038.167097866773,3116.6619074657883,4818.332541382063,Pass,129,sample_data/subj02_timepoint01.mp4
822.1960838437345,2045.4853741636132,3153.8547514833604,4816.277178093044,Pass,130,sample_data/subj02_timepoint01.mp4
854.1739256540603,2053.9457072577493,3183.8367355116484,4809.974895212384,Pass,131,sample_data/subj02_timepoint01.mp4
879.9929908731917,2063.7399890751685,3212.2189436513418,4800.842818821852,Pass,132,sample_data/subj02_timepoint01.mp4
900.885180666585,2074.1137458935973,3243.6014817610708,4790.837801335317,Pass,133,sample_data/subj02_timepoint01.mp4
917.9886368587469,2083.4237419503775,3282.5107176212496,4783.311244436252,Pass,134,sample_data/subj02_timepoint01.mp4
932.3384334577875,2089.9082189992755,3333.1457203886202,4783.176026118782,Pass,135,sample_data/subj02_timepoint01.mp4
945.02583855248,2092.3516137932907,3397.092160518144,4797.254192031876,Pass,136,sample_data/subj02_timepoint01.mp4
957.2051364361214,2090.202595079541,3469.8357383581706,4836.129146043011,Pass,137,sample_data/subj02_timepoint01.mp4
969.8222451216172,2083.391746385396,3541.799933159499,4921.078944117778,Pass,138,sample_data/subj02_timepoint01.mp4
983.20590696309,2072.1656776149657,3605.29054313321,5123.0170934017215,Pass,139,sample_data/subj02_timepoint01.mp4
997.1785162101569,2057.0929626002726,3658.2439056840753,,Pass,140,sample_data/subj02_timepoint01.mp4
1012.2934588228826,2039.3523792078167,3702.017066969149,,Pass,141,sample_data/subj02_timepoint01.mp4
1032.3427978802915,2021.218331150382,3738.2982348272867,,Pass,142,sample_data/subj02_timepoint01.mp4
1074.6351765259064,2006.5560017534526,3767.73989097286,,Pass,143,sample_data/subj02_timepoint01.mp4
1213.6535553881813,2002.4932665674396,3790.0683900871286,,Pass,144,sample_data/subj02_timepoint01.mp4
449.17355320296775,1493.1360054598483,2283.4259497830335,3806.506389868407,Pass,145,sample_data/subj02_timepoint01.mp4
355.84692687820444,1456.5747223789458,2073.4446206280763,3809.512522972635,Pass,146,sample_data/subj02_timepoint01.mp4
375.806426620939,1476.539428401658,2127.840742724061,3799.3763143269603,Pass,147,sample_data/subj02_timepoint01.mp4
384.0232224975534,1480.8447344598687,2173.40716487329,3760.3525304383297,Pass,148,sample_data/subj02_timepoint01.mp4
389.07892767394424,1481.5003670851927,2205.419761676421,3676.4298097981073,Pass,149,sample_data/subj02_timepoint01.mp4
393.8420631047801,1481.3723747020786,2213.1709346382995,3561.1968528619245,Pass,150,sample_data/subj02_timepoint01.mp4
399.85883906240264,1481.9818080420962,2186.5417279976964,3459.5649500593972,Pass,151,sample_data/subj02_timepoint01.mp4
408.76161438118146,1486.9981122600022,2133.7442649048508,3396.3937701933737,Pass,152,sample_data/subj02_timepoint01.mp4
422.86352403847195,1505.1552741884104,2068.444731003989,3362.2717538794377,Pass,153,sample_data/subj02_timepoint01.mp4
445.07654577555536,1556.7175325340609,1984.7414614346771,3340.0307495776187,Pass,154,sample_data/subj02_timepoint01.mp4
477.18446959460834,1688.7784093887692,1849.4783365996611,3318.0949501305495,Pass,155,sample_data/subj02_timepoint01.mp4
515.4064090868601,1764.096840765868,1830.2417462292303,3290.5858355183473,Pass,156,sample_data/subj02_timepoint01.mp4
550.2740800010421,1822.1624341384938,1927.1106106350048,3255.7105194648043,Pass,157,sample_data/subj02_timepoint01.mp4
575.6909464786013,1826.2768268334205,2175.080896545056,3214.6043315818833,Pass,158,sample_data/subj02_timepoint01.mp4
591.5369322227282,1820.9862525802976,2461.589534363028,3173.5501294023366,Pass,159,sample_data/subj02_timepoint01.mp4
599.4763117387781,1817.409337758137,2621.122144903108,3229.849479330879,Pass,160,sample_data/subj02_timepoint01.mp4
601.0260567792883,1815.6315650904428,2638.111865434994,3396.0707400881274,Pass,161,sample_data/subj02_timepoint01.mp4
597.5273875203516,1814.3273655156363,2638.879489097948,3586.244178520926,Pass,162,sample_data/subj02_timepoint01.mp4
590.1969409940111,1812.357174613185,2647.761025617356,3852.1031357420934,Pass,163,sample_data/subj02_timepoint01.mp4
