aco_ff,Frames,aco_voicelabel,error_reason,dbm_master_url
0.0,0,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,1,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,2,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,3,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,4,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,5,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,6,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,7,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,8,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,9,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,10,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,11,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,12,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,13,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,14,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,15,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,16,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,17,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,18,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,19,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,20,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,21,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,22,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,23,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,24,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,25,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,26,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,27,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,28,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,29,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,30,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,31,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,32,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,33,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,34,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,35,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,36,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,37,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,38,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,39,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,40,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,41,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,42,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,43,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,44,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,45,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,46,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,47,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,48,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,49,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,50,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,51,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,52,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,53,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,54,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,55,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,56,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,57,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,58,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,59,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,60,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,61,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,62,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,63,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,64,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,65,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,66,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,67,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,68,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,69,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,70,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,71,no,Pass,sample_data/subj01_timepoint01.mp4
0.0,72,no,Pass,sample_data/subj01_timepoint01.mp4
