aco_fm1,aco_fm2,aco_fm3,aco_fm4,error_reason,Frames,dbm_master_url
,,,,Pass,0,sample_data/subj02_timepoint02.mp4
,,,,Pass,1,sample_data/subj02_timepoint02.mp4
,,,,Pass,2,sample_data/subj02_timepoint02.mp4
,,,,Pass,3,sample_data/subj02_timepoint02.mp4
,,,,Pass,4,sample_data/subj02_timepoint02.mp4
,,,,Pass,5,sample_data/subj02_timepoint02.mp4
,,,,Pass,6,sample_data/subj02_timepoint02.mp4
,,,,Pass,7,sample_data/subj02_timepoint02.mp4
,,,,Pass,8,sample_data/subj02_timepoint02.mp4
,,,,Pass,9,sample_data/subj02_timepoint02.mp4
,,,,Pass,10,sample_data/subj02_timepoint02.mp4
,,,,Pass,11,sample_data/subj02_timepoint02.mp4
,,,,Pass,12,sample_data/subj02_timepoint02.mp4
,,,,Pass,13,sample_data/subj02_timepoint02.mp4
,,,,Pass,14,sample_data/subj02_timepoint02.mp4
,,,,Pass,15,sample_data/subj02_timepoint02.mp4
,,,,Pass,16,sample_data/subj02_timepoint02.mp4
,,,,Pass,17,sample_data/subj02_timepoint02.mp4
,,,,Pass,18,sample_data/subj02_timepoint02.mp4
,,,,Pass,19,sample_data/subj02_timepoint02.mp4
,,,,Pass,20,sample_data/subj02_timepoint02.mp4
,,,,Pass,21,sample_data/subj02_timepoint02.mp4
,,,,Pass,22,sample_data/subj02_timepoint02.mp4
,,,,Pass,23,sample_data/subj02_timepoint02.mp4
806.9949956349169,2082.3972082383034,3196.1234605907575,4360.873022452309,Pass,24,sample_data/subj02_timepoint02.mp4
796.532354555926,2071.7892376788454,3197.113975041854,4383.811797272071,Pass,25,sample_data/subj02_timepoint02.mp4
780.2410930431348,2056.6741523276073,3202.4248690766594,4442.612348392369,Pass,26,sample_data/subj02_timepoint02.mp4
765.2011229754493,2045.576452343432,3216.1527191416826,4552.387978073779,Pass,27,sample_data/subj02_timepoint02.mp4
754.6965356141794,2043.138024736543,3243.209746295862,4646.197224864519,Pass,28,sample_data/subj02_timepoint02.mp4
752.6541020773395,2054.5831554856886,3286.9183602856615,4673.282356893946,Pass,29,sample_data/subj02_timepoint02.mp4
763.857167598203,2081.1305230248945,3342.5937118804636,4664.8694499305075,Pass,30,sample_data/subj02_timepoint02.mp4
793.129830941499,2114.220106993964,3400.17400809626,4652.073170334901,Pass,31,sample_data/subj02_timepoint02.mp4
835.5578249502413,2142.033635853687,3453.0762264399154,4644.4330399018545,Pass,32,sample_data/subj02_timepoint02.mp4
