aco_shimmer,error_reason,Frames,dbm_master_url
,Pass,0,sample_data/subj02_timepoint02.mp4
0.2191863165916215,Pass,1,sample_data/subj02_timepoint02.mp4
,Pass,2,sample_data/subj02_timepoint02.mp4
,Pass,3,sample_data/subj02_timepoint02.mp4
,Pass,4,sample_data/subj02_timepoint02.mp4
,Pass,5,sample_data/subj02_timepoint02.mp4
,Pass,6,sample_data/subj02_timepoint02.mp4
0.18804910528239946,Pass,7,sample_data/subj02_timepoint02.mp4
,Pass,8,sample_data/subj02_timepoint02.mp4
,Pass,9,sample_data/subj02_timepoint02.mp4
,Pass,10,sample_data/subj02_timepoint02.mp4
0.17748132750710682,Pass,11,sample_data/subj02_timepoint02.mp4
,Pass,12,sample_data/subj02_timepoint02.mp4
0.18764541630668155,Pass,13,sample_data/subj02_timepoint02.mp4
,Pass,14,sample_data/subj02_timepoint02.mp4
0.2483818754466371,Pass,15,sample_data/subj02_timepoint02.mp4
,Pass,16,sample_data/subj02_timepoint02.mp4
0.25333800554449265,Pass,17,sample_data/subj02_timepoint02.mp4
,Pass,18,sample_data/subj02_timepoint02.mp4
,Pass,19,sample_data/subj02_timepoint02.mp4
,Pass,20,sample_data/subj02_timepoint02.mp4
,Pass,21,sample_data/subj02_timepoint02.mp4
,Pass,22,sample_data/subj02_timepoint02.mp4
,Pass,23,sample_data/subj02_timepoint02.mp4
