aco_jitter,error_reason,Frames,dbm_master_url
,Pass,0,sample_data/subj01_timepoint01.mp4
,Pass,1,sample_data/subj01_timepoint01.mp4
,Pass,2,sample_data/subj01_timepoint01.mp4
