Frames,mov_headvel,error_reason,dbm_master_url
94,5.078385570237826,Pass,sample_data/subj01_timepoint02.mp4
95,4.478839135311709,Pass,sample_data/subj01_timepoint02.mp4
96,1.907878402833849,Pass,sample_data/subj01_timepoint02.mp4
97,0.5916079783099607,Pass,sample_data/subj01_timepoint02.mp4
98,3.6235341863986545,Pass,sample_data/subj01_timepoint02.mp4
99,2.787471972953239,Pass,sample_data/subj01_timepoint02.mp4
100,3.834057902536118,Pass,sample_data/subj01_timepoint02.mp4
101,2.2203603311174285,Pass,sample_data/subj01_timepoint02.mp4
102,2.418677324489561,Pass,sample_data/subj01_timepoint02.mp4
103,3.7536648758247098,Pass,sample_data/subj01_timepoint02.mp4
104,3.1953090617341053,Pass,sample_data/subj01_timepoint02.mp4
105,2.8178005607210816,Pass,sample_data/subj01_timepoint02.mp4
106,3.0232432915661946,Pass,sample_data/subj01_timepoint02.mp4
107,3.2787192621509953,Pass,sample_data/subj01_timepoint02.mp4
108,6.969218033610361,Pass,sample_data/subj01_timepoint02.mp4
109,3.8183766184073544,Pass,sample_data/subj01_timepoint02.mp4
110,5.683308895353103,Pass,sample_data/subj01_timepoint02.mp4
111,6.414826575987842,Pass,sample_data/subj01_timepoint02.mp4
112,7.459892760623343,Pass,sample_data/subj01_timepoint02.mp4
113,5.487257967327571,Pass,sample_data/subj01_timepoint02.mp4
114,3.92683078321437,Pass,sample_data/subj01_timepoint02.mp4
115,4.358898943540674,Pass,sample_data/subj01_timepoint02.mp4
116,4.0012498047484915,Pass,sample_data/subj01_timepoint02.mp4
117,3.964845520319808,Pass,sample_data/subj01_timepoint02.mp4
118,6.7386942355326,Pass,sample_data/subj01_timepoint02.mp4
119,4.6529560496527775,Pass,sample_data/subj01_timepoint02.mp4
120,0.9055385138137471,Pass,sample_data/subj01_timepoint02.mp4
121,0.7071067811865922,Pass,sample_data/subj01_timepoint02.mp4
122,0.3605551275463962,Pass,sample_data/subj01_timepoint02.mp4
123,1.9131126469708803,Pass,sample_data/subj01_timepoint02.mp4
124,3.1622776601684004,Pass,sample_data/subj01_timepoint02.mp4
125,3.2202484376209055,Pass,sample_data/subj01_timepoint02.mp4
126,5.280151512977627,Pass,sample_data/subj01_timepoint02.mp4
127,3.60555127546399,Pass,sample_data/subj01_timepoint02.mp4
128,4.532107677449859,Pass,sample_data/subj01_timepoint02.mp4
129,4.328972164382673,Pass,sample_data/subj01_timepoint02.mp4
130,4.27668095606863,Pass,sample_data/subj01_timepoint02.mp4
131,5.141011573610761,Pass,sample_data/subj01_timepoint02.mp4
132,3.3999999999999986,Pass,sample_data/subj01_timepoint02.mp4
133,3.706750598570135,Pass,sample_data/subj01_timepoint02.mp4
134,3.889730067755353,Pass,sample_data/subj01_timepoint02.mp4
135,2.1563858652847827,Pass,sample_data/subj01_timepoint02.mp4
136,1.5556349186103986,Pass,sample_data/subj01_timepoint02.mp4
137,0.9273618495495485,Pass,sample_data/subj01_timepoint02.mp4
138,2.2022715545545695,Pass,sample_data/subj01_timepoint02.mp4
139,4.662617290749873,Pass,sample_data/subj01_timepoint02.mp4
140,2.5298221281346818,Pass,sample_data/subj01_timepoint02.mp4
141,3.515679166249379,Pass,sample_data/subj01_timepoint02.mp4
142,3.7175260590882004,Pass,sample_data/subj01_timepoint02.mp4
143,2.580697580112768,Pass,sample_data/subj01_timepoint02.mp4
144,3.3867388443752193,Pass,sample_data/subj01_timepoint02.mp4
145,4.6593991028887265,Pass,sample_data/subj01_timepoint02.mp4
146,4.348562981031818,Pass,sample_data/subj01_timepoint02.mp4
147,2.39374184071717,Pass,sample_data/subj01_timepoint02.mp4
148,2.282542442102678,Pass,sample_data/subj01_timepoint02.mp4
149,2.954657340538836,Pass,sample_data/subj01_timepoint02.mp4
150,4.220189569201818,Pass,sample_data/subj01_timepoint02.mp4
151,4.4339598554790545,Pass,sample_data/subj01_timepoint02.mp4
152,3.987480407475366,Pass,sample_data/subj01_timepoint02.mp4
153,2.437211521390809,Pass,sample_data/subj01_timepoint02.mp4
154,2.302172886644259,Pass,sample_data/subj01_timepoint02.mp4
155,2.1424285285628444,Pass,sample_data/subj01_timepoint02.mp4
156,3.67287353444138,Pass,sample_data/subj01_timepoint02.mp4
157,1.6673332000532857,Pass,sample_data/subj01_timepoint02.mp4
158,1.516575088810304,Pass,sample_data/subj01_timepoint02.mp4
159,1.4071247279470527,Pass,sample_data/subj01_timepoint02.mp4
160,1.3674794331177336,Pass,sample_data/subj01_timepoint02.mp4
