aco_hnr,Frames,dbm_master_url,error_reason
,0,sample_data/subj01_timepoint02.mp4,Pass
,1,sample_data/subj01_timepoint02.mp4,Pass
,2,sample_data/subj01_timepoint02.mp4,Pass
,3,sample_data/subj01_timepoint02.mp4,Pass
,4,sample_data/subj01_timepoint02.mp4,Pass
,5,sample_data/subj01_timepoint02.mp4,Pass
,6,sample_data/subj01_timepoint02.mp4,Pass
,7,sample_data/subj01_timepoint02.mp4,Pass
,8,sample_data/subj01_timepoint02.mp4,Pass
-5.292797787537338,9,sample_data/subj01_timepoint02.mp4,Pass
-2.479387888807545,10,sample_data/subj01_timepoint02.mp4,Pass
-0.5679104395719258,11,sample_data/subj01_timepoint02.mp4,Pass
0.20986293836861622,12,sample_data/subj01_timepoint02.mp4,Pass
-0.4191335605436313,13,sample_data/subj01_timepoint02.mp4,Pass
-0.6335001486456893,14,sample_data/subj01_timepoint02.mp4,Pass
-1.0076899008929774,15,sample_data/subj01_timepoint02.mp4,Pass
-1.3957513841880465,16,sample_data/subj01_timepoint02.mp4,Pass
-2.830107320242672,17,sample_data/subj01_timepoint02.mp4,Pass
-2.317155707064313,18,sample_data/subj01_timepoint02.mp4,Pass
-0.7508989762799343,19,sample_data/subj01_timepoint02.mp4,Pass
-0.15719431146388865,20,sample_data/subj01_timepoint02.mp4,Pass
-11.455517282714043,21,sample_data/subj01_timepoint02.mp4,Pass
,22,sample_data/subj01_timepoint02.mp4,Pass
,23,sample_data/subj01_timepoint02.mp4,Pass
-5.299540264144714,24,sample_data/subj01_timepoint02.mp4,Pass
-7.203040251009543,25,sample_data/subj01_timepoint02.mp4,Pass
-3.4542613539618494,26,sample_data/subj01_timepoint02.mp4,Pass
-0.15832341104788653,27,sample_data/subj01_timepoint02.mp4,Pass
0.05959650637503772,28,sample_data/subj01_timepoint02.mp4,Pass
-2.3683154832781246,29,sample_data/subj01_timepoint02.mp4,Pass
-6.067949943858975,30,sample_data/subj01_timepoint02.mp4,Pass
-5.618798788618166,31,sample_data/subj01_timepoint02.mp4,Pass
-4.5632726472808045,32,sample_data/subj01_timepoint02.mp4,Pass
-3.487848181290434,33,sample_data/subj01_timepoint02.mp4,Pass
-2.38191113057955,34,sample_data/subj01_timepoint02.mp4,Pass
-1.8547690529461613,35,sample_data/subj01_timepoint02.mp4,Pass
-1.4090038370638933,36,sample_data/subj01_timepoint02.mp4,Pass
-2.9659378642929966,37,sample_data/subj01_timepoint02.mp4,Pass
-13.540224880609177,38,sample_data/subj01_timepoint02.mp4,Pass
-11.278064409242713,39,sample_data/subj01_timepoint02.mp4,Pass
-5.8274742000714586,40,sample_data/subj01_timepoint02.mp4,Pass
-6.566928883039719,41,sample_data/subj01_timepoint02.mp4,Pass
-8.219807485425731,42,sample_data/subj01_timepoint02.mp4,Pass
-7.9801204173619675,43,sample_data/subj01_timepoint02.mp4,Pass
-7.373388700998243,44,sample_data/subj01_timepoint02.mp4,Pass
4.553410303994534,45,sample_data/subj01_timepoint02.mp4,Pass
9.256049289899188,46,sample_data/subj01_timepoint02.mp4,Pass
7.8988660804935416,47,sample_data/subj01_timepoint02.mp4,Pass
2.1641024427748965,48,sample_data/subj01_timepoint02.mp4,Pass
-1.024506094092069,49,sample_data/subj01_timepoint02.mp4,Pass
-1.5267326251396993,50,sample_data/subj01_timepoint02.mp4,Pass
