Frames,mov_headvel,error_reason,dbm_master_url
94,0.141421356237309,Pass,sample_data/subj02_timepoint01.mp4
95,0.39999999999997726,Pass,sample_data/subj02_timepoint01.mp4
96,0.31622776601684915,Pass,sample_data/subj02_timepoint01.mp4
97,0.4000000000000341,Pass,sample_data/subj02_timepoint01.mp4
98,0.6082762530297879,Pass,sample_data/subj02_timepoint01.mp4
99,0.19999999999998863,Pass,sample_data/subj02_timepoint01.mp4
100,0.5099019513592784,Pass,sample_data/subj02_timepoint01.mp4
101,0.30000000000001137,Pass,sample_data/subj02_timepoint01.mp4
102,0.14142135623732532,Pass,sample_data/subj02_timepoint01.mp4
103,0.8062257748298665,Pass,sample_data/subj02_timepoint01.mp4
104,0.7071067811865362,Pass,sample_data/subj02_timepoint01.mp4
105,1.702938636592629,Pass,sample_data/subj02_timepoint01.mp4
106,0.6082762530298443,Pass,sample_data/subj02_timepoint01.mp4
107,0.31622776601684804,Pass,sample_data/subj02_timepoint01.mp4
108,0.30000000000001137,Pass,sample_data/subj02_timepoint01.mp4
109,0.1414213562373266,Pass,sample_data/subj02_timepoint01.mp4
110,0.6082762530297886,Pass,sample_data/subj02_timepoint01.mp4
111,0.10000000000000142,Pass,sample_data/subj02_timepoint01.mp4
112,0.6999999999999886,Pass,sample_data/subj02_timepoint01.mp4
113,0.17320508075690044,Pass,sample_data/subj02_timepoint01.mp4
114,0.2449489742783097,Pass,sample_data/subj02_timepoint01.mp4
115,0.8124038404636074,Pass,sample_data/subj02_timepoint01.mp4
116,0.22360679774996786,Pass,sample_data/subj02_timepoint01.mp4
117,0.19999999999998863,Pass,sample_data/subj02_timepoint01.mp4
118,0.0999999999999659,Pass,sample_data/subj02_timepoint01.mp4
119,0.22360679774996944,Pass,sample_data/subj02_timepoint01.mp4
120,0.22360679775001868,Pass,sample_data/subj02_timepoint01.mp4
121,0.2236067977500203,Pass,sample_data/subj02_timepoint01.mp4
122,0.5099019513592784,Pass,sample_data/subj02_timepoint01.mp4
123,0.14142135623728638,Pass,sample_data/subj02_timepoint01.mp4
124,0.5,Pass,sample_data/subj02_timepoint01.mp4
125,0.19999999999998863,Pass,sample_data/subj02_timepoint01.mp4
126,0.9055385138137755,Pass,sample_data/subj02_timepoint01.mp4
127,0.6082762530298443,Pass,sample_data/subj02_timepoint01.mp4
128,0.30000000000001137,Pass,sample_data/subj02_timepoint01.mp4
129,1.0099504938362078,Pass,sample_data/subj02_timepoint01.mp4
130,0.39999999999997726,Pass,sample_data/subj02_timepoint01.mp4
131,0.30000000000001137,Pass,sample_data/subj02_timepoint01.mp4
132,0.8062257748298662,Pass,sample_data/subj02_timepoint01.mp4
133,0.31622776601684915,Pass,sample_data/subj02_timepoint01.mp4
134,0.0999999999999659,Pass,sample_data/subj02_timepoint01.mp4
135,0.2999999999999545,Pass,sample_data/subj02_timepoint01.mp4
136,0.6000000000000227,Pass,sample_data/subj02_timepoint01.mp4
137,0.24494897427830897,Pass,sample_data/subj02_timepoint01.mp4
138,0.5999999999999659,Pass,sample_data/subj02_timepoint01.mp4
139,0.6000000000000227,Pass,sample_data/subj02_timepoint01.mp4
140,0.8306623862918182,Pass,sample_data/subj02_timepoint01.mp4
141,0.31622776601684915,Pass,sample_data/subj02_timepoint01.mp4
142,0.7141428428542735,Pass,sample_data/subj02_timepoint01.mp4
143,0.41231056256179904,Pass,sample_data/subj02_timepoint01.mp4
144,0.6082762530298447,Pass,sample_data/subj02_timepoint01.mp4
145,0.10000000000000142,Pass,sample_data/subj02_timepoint01.mp4
146,0.31622776601684804,Pass,sample_data/subj02_timepoint01.mp4
147,2.410394158638767,Pass,sample_data/subj02_timepoint01.mp4
