fac_AU01int,fac_AU02int,fac_AU04int,fac_AU05int,fac_AU06int,fac_AU07int,fac_AU09int,fac_AU10int,fac_AU12int,fac_AU14int,fac_AU15int,fac_AU17int,fac_AU20int,fac_AU23int,fac_AU25int,fac_AU26int,fac_AU45int,fac_AU01pres,fac_AU02pres,fac_AU04pres,fac_AU05pres,fac_AU06pres,fac_AU07pres,fac_AU09pres,fac_AU10pres,fac_AU12pres,fac_AU14pres,fac_AU15pres,fac_AU17pres,fac_AU20pres,fac_AU23pres,fac_AU25pres,fac_AU26pres,fac_AU28pres,fac_AU45pres,frame,face_id,timestamp,confidence,success,dbm_master_url
0.0,0.0,0.0,0.0,1.05,2.52,0.0,1.17,1.01,0.85,0.0,0.23,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.98,1,sample_data/subj01_timepoint02.mp4
0.0,0.0,0.0,0.0,0.94,2.56,0.0,1.23,0.99,1.02,0.0,0.26,0.0,0.06,0.01,0.39,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.033,0.98,1,sample_data/subj01_timepoint02.mp4
0.0,0.0,0.0,0.04,0.88,2.56,0.0,1.21,0.95,1.1,0.0,0.31,0.0,0.06,0.01,0.25,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.067,0.98,1,sample_data/subj01_timepoint02.mp4
0.0,0.0,0.0,0.04,0.91,2.45,0.0,1.2,0.94,1.11,0.0,0.38,0.0,0.05,0.0,0.19,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0.1,0.98,1,sample_data/subj01_timepoint02.mp4
0.0,0.0,0.0,0.04,0.92,2.39,0.0,1.15,0.92,1.06,0.0,0.45,0.0,0.0,0.01,0.14,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.133,0.98,1,sample_data/subj01_timepoint02.mp4
0.0,0.0,0.0,0.0,0.92,2.29,0.0,1.15,0.95,1.05,0.0,0.48,0.0,0.0,0.01,0.12,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0.16699999999999998,0.98,1,sample_data/subj01_timepoint02.mp4
0.0,0.0,0.0,0.0,0.89,2.3,0.0,1.1,0.96,1.07,0.0,0.52,0.0,0.0,0.06,0.07,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0.2,0.98,1,sample_data/subj01_timepoint02.mp4
0.0,0.0,0.0,0.0,0.92,2.36,0.0,1.08,0.98,1.08,0.0,0.41,0.0,0.0,0.17,0.05,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0.233,0.98,1,sample_data/subj01_timepoint02.mp4
0.0,0.0,0.0,0.0,0.93,2.57,0.0,1.05,0.96,1.1,0.0,0.38,0.0,0.0,0.19,0.02,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0.267,0.98,1,sample_data/subj01_timepoint02.mp4
0.0,0.0,0.0,0.0,0.92,2.66,0.0,1.01,0.92,1.09,0.0,0.33,0.0,0.0,0.22,0.02,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0.3,0.98,1,sample_data/subj01_timepoint02.mp4
0.0,0.0,0.0,0.0,0.89,2.67,0.0,1.04,0.89,1.09,0.0,0.29,0.0,0.01,0.16,0.06,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0.33299999999999996,0.98,1,sample_data/subj01_timepoint02.mp4
