mov_lefteyex,mov_lefteyey,mov_lefteyez,mov_righteyex,mov_righteyey,mov_righteyez,mov_leyedisp,mov_reyedisp,error_reason,dbm_master_url
0.022491,0.26385,-0.964302,-0.11510999999999999,0.201456,-0.9727100000000001,,,Pass,sample_data/subj02_timepoint02.mp4
0.034332999999999995,0.263164,-0.96414,-0.12333699999999999,0.215236,-0.968742,0.011862959327250509,0.016532300293667576,Pass,sample_data/subj02_timepoint02.mp4
0.032014999999999995,0.262666,-0.964355,-0.12553,0.2487,-0.960411,0.002380620297317484,0.034555087990048576,Pass,sample_data/subj02_timepoint02.mp4
0.03854,0.269784,-0.962149,-0.12095399999999999,0.21211300000000002,-0.9697309999999999,0.009904947501122856,0.038031707100786266,Pass,sample_data/subj02_timepoint02.mp4
0.050838999999999995,0.276407,-0.9596950000000001,-0.160367,0.235062,-0.9586600000000001,0.014182794012464525,0.04693195298514644,Pass,sample_data/subj02_timepoint02.mp4
0.083035,0.271513,-0.9588459999999999,-0.143433,0.22371799999999997,-0.964042,0.0325769006045695,0.021081096176432557,Pass,sample_data/subj02_timepoint02.mp4
0.09200900000000001,0.328814,-0.939902,-0.196375,0.370008,-0.9080370000000001,0.061014854035718165,0.1653486603786072,Pass,sample_data/subj02_timepoint02.mp4
0.130077,0.351767,-0.927006,-0.169076,0.37816,-0.910169,0.04628519902733486,0.02856984299921858,Pass,sample_data/subj02_timepoint02.mp4
0.119476,0.32508000000000004,-0.938109,-0.203346,0.276434,-0.9392739999999999,0.03078723402645969,0.11121921147445703,Pass,sample_data/subj02_timepoint02.mp4
0.12382,0.316711,-0.940406,-0.218271,0.27753,-0.935593,0.009704983565158688,0.015411249203098342,Pass,sample_data/subj02_timepoint02.mp4
0.027363,0.27338,-0.961517,-0.20211500000000002,0.238446,-0.949891,0.10782950770081444,0.04464312036585257,Pass,sample_data/subj02_timepoint02.mp4
0.040615,0.312796,-0.948951,-0.187814,0.276553,-0.942467,0.043441235203433154,0.04137363684763524,Pass,sample_data/subj02_timepoint02.mp4
0.051072,0.308635,-0.949808,-0.130366,0.243679,-0.9610540000000001,0.011287037653875362,0.0687491756241484,Pass,sample_data/subj02_timepoint02.mp4
0.05627000000000001,0.298105,-0.952873,-0.136429,0.272567,-0.952415,0.012136487506688236,0.030755630931587157,Pass,sample_data/subj02_timepoint02.mp4
0.048277999999999995,0.28728400000000004,-0.956628,-0.138754,0.30332,-0.942732,0.013966607676884178,0.03232511597813685,Pass,sample_data/subj02_timepoint02.mp4
0.054827,0.28931100000000004,-0.955664,-0.13134,0.29746500000000003,-0.9456549999999999,0.006922963671723277,0.00988900146627547,Pass,sample_data/subj02_timepoint02.mp4
