frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c, AU09_c, AU23_r,s_confidence,fac_hapintsoft,fac_sadintsoft,fac_surintsoft,fac_feaintsoft,fac_angintsoft,fac_disintsoft,fac_conintsoft,fac_paiintsoft,fac_negintsoft,fac_posintsoft,neu_exp,fac_comlowintsoft,fac_comuppintsoft,cai_exp,fac_comintsoft,fac_happres,fac_sadpres,fac_surpres,fac_feapres,fac_angpres,fac_dispres,fac_conpres,fac_hapinthard,fac_sadinthard,fac_surinthard,fac_feainthard,fac_anginthard,fac_disinthard,fac_coninthard,fac_paiinthard,fac_neginthard,fac_posinthard,neu_exp_full,cai_exp_full,fac_comlowinthard,fac_comuppinthard,fac_cominthard,error_reason,dbm_master_url
11,0,0.33299999999999996,0.98,1,0.0,0.0,1.1,0.01,0.0,0.95,0.05,0.0,0.0,0.02,0.11,0.04,0.27,0.12,0.09,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.9800000000000001,0,0.18333333333333335,0.0016666666666666668,0.11444444444444445,0.11444444444444445,0,0,0.1708333333333333,0.08244444444444446,0,0.0016666666666666668,0,0.4138888888888889,0.3433333333333334,0.05912698412698413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.11444444444444445,0.0,Pass,sample_data/subj02_timepoint01.mp4
12,0,0.36700000000000005,0.98,1,0.0,0.01,0.96,0.01,0.0,0.93,0.04,0.0,0.0,0.02,0.08,0.03,0.22,0.11,0.09,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.9800000000000001,0,0.16,0.0016666666666666668,0.10555555555555556,0.10555555555555556,0,0,0.1575,0.07422222222222222,0,0.0016666666666666668,0,0.3727777777777778,0.31666666666666665,0.05325396825396826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.10555555555555556,0.0,Pass,sample_data/subj02_timepoint01.mp4
13,0,0.4,0.98,1,0.0,0.03,0.99,0.01,0.0,0.63,0.01,0.0,0.0,0.01,0.11,0.04,0.16,0.25,0.05,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.9800000000000001,0,0.165,0.0016666666666666668,0.09055555555555556,0.09055555555555556,0,0,0.135,0.06922222222222221,0,0.0016666666666666668,0,0.3477777777777778,0.27166666666666667,0.04968253968253968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.09055555555555556,0.0,Pass,sample_data/subj02_timepoint01.mp4
14,0,0.433,0.98,1,0.0,0.03,1.08,0.0,0.0,0.44,0.02,0.0,0.0,0.0,0.18,0.09,0.09,0.33,0.02,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.9800000000000001,0,0.18000000000000002,0.0,0.08444444444444445,0.08444444444444445,0,0,0.12666666666666668,0.06977777777777779,0,0.0,0,0.3488888888888889,0.25333333333333335,0.049841269841269846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.08444444444444445,0.0,Pass,sample_data/subj02_timepoint01.mp4
15,0,0.467,0.98,1,0.0,0.04,1.09,0.0,0.0,0.42,0.03,0.0,0.0,0.0,0.22,0.11,0.04,0.35,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9800000000000001,0,0.0,0.0,0.034999999999999996,0.034999999999999996,0,0,0.06999999999999999,0.013999999999999999,0,0.0,0,0.06999999999999999,0.06999999999999999,0.009999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,Pass,sample_data/subj02_timepoint01.mp4
16,0,0.5,0.98,1,0.0,0.13,0.92,0.0,0.0,0.61,0.03,0.0,0.0,0.0,0.14,0.09,0.1,0.27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.9800000000000001,0,0.0,0.0,0.050833333333333335,0.050833333333333335,0,0,0.10166666666666667,0.020333333333333335,0,0.0,0,0.10166666666666667,0.10166666666666667,0.014523809523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,Pass,sample_data/subj02_timepoint01.mp4
17,0,0.5329999999999999,0.98,1,0.0,0.16,0.8,0.0,0.0,0.62,0.02,0.0,0.0,0.0,0.06,0.1,0.08,0.14,0.01,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.9800000000000001,0,0.0,0.0,0.051666666666666666,0.051666666666666666,0,0,0.10333333333333333,0.020666666666666667,0,0.0,0,0.10333333333333333,0.10333333333333333,0.014761904761904763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,Pass,sample_data/subj02_timepoint01.mp4
18,0,0.5670000000000001,0.98,1,0.0,0.2,0.86,0.01,0.0,0.46,0.0,0.0,0.0,0.0,0.01,0.14,0.13,0.13,0.03,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.9800000000000001,0,0.0,0.0016666666666666668,0.03916666666666667,0.03916666666666667,0,0,0.07666666666666667,0.01566666666666667,0,0.0016666666666666668,0,0.08,0.07833333333333334,0.011428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,Pass,sample_data/subj02_timepoint01.mp4
19,0,0.6,0.98,1,0.0,0.14,0.87,0.01,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.19,0.05,0.07,0.03,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.9800000000000001,0,0.0,0.0016666666666666668,0.023333333333333334,0.023333333333333334,0,0,0.045000000000000005,0.009333333333333334,0,0.0016666666666666668,0,0.04833333333333334,0.04666666666666667,0.006904761904761906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,Pass,sample_data/subj02_timepoint01.mp4
20,0,0.633,0.98,1,0.0,0.15,0.81,0.01,0.0,0.23,0.0,0.0,0.0,0.0,0.06,0.19,0.05,0.06,0.03,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.9800000000000001,0,0.0,0.0016666666666666668,0.0016666666666666668,0.0016666666666666668,0,0,0.0,0.0006666666666666668,0,0.0016666666666666668,0,0.005,0.0016666666666666668,0.0007142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,Pass,sample_data/subj02_timepoint01.mp4
