l0_x,l1_x,l2_x,l3_x,l4_x,l5_x,l6_x,l7_x,l8_x,l9_x,l10_x,l11_x,l12_x,l13_x,l14_x,l15_x,l16_x,l17_x,l18_x,l19_x,l20_x,l21_x,l22_x,l23_x,l24_x,l25_x,l26_x,l27_x,l28_x,l29_x,l30_x,l31_x,l32_x,l33_x,l34_x,l35_x,l36_x,l37_x,l38_x,l39_x,l40_x,l41_x,l42_x,l43_x,l44_x,l45_x,l46_x,l47_x,l48_x,l49_x,l50_x,l51_x,l52_x,l53_x,l54_x,l55_x,l56_x,l57_x,l58_x,l59_x,l60_x,l61_x,l62_x,l63_x,l64_x,l65_x,l66_x,l67_x,l0_y,l1_y,l2_y,l3_y,l4_y,l5_y,l6_y,l7_y,l8_y,l9_y,l10_y,l11_y,l12_y,l13_y,l14_y,l15_y,l16_y,l17_y,l18_y,l19_y,l20_y,l21_y,l22_y,l23_y,l24_y,l25_y,l26_y,l27_y,l28_y,l29_y,l30_y,l31_y,l32_y,l33_y,l34_y,l35_y,l36_y,l37_y,l38_y,l39_y,l40_y,l41_y,l42_y,l43_y,l44_y,l45_y,l46_y,l47_y,l48_y,l49_y,l50_y,l51_y,l52_y,l53_y,l54_y,l55_y,l56_y,l57_y,l58_y,l59_y,l60_y,l61_y,l62_y,l63_y,l64_y,l65_y,l66_y,l67_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz
440.786,441.079,445.343,450.902,461.215,478.603,501.007,530.031,565.167,600.254,630.305,655.261,673.82,685.542,693.034,698.301,700.18,461.742,479.219,502.431,525.717,548.071,600.088,623.593,645.357,666.239,680.791,574.82,574.72,574.656,574.522,546.03,559.067,572.501,586.576,599.175,489.619,504.062,522.852,537.603,521.709,502.893,609.125,624.879,643.036,655.734,643.972,626.288,520.02,539.631,557.334,571.541,587.966,605.101,620.287,604.742,587.535,570.341,555.113,537.916,528.435,556.507,571.048,587.82,612.473,587.224,570.659,556.168,300.039,337.243,374.557,411.499,449.089,483.407,513.393,537.234,544.777,539.389,516.822,487.074,454.297,419.291,384.079,348.643,311.119,290.821,278.693,275.899,280.05,286.784,286.943,280.343,278.015,282.1,294.234,312.987,338.731,364.73,391.36,407.072,412.901,417.667,414.18,409.236,313.436,303.414,304.291,317.244,321.254,321.161,318.008,305.508,306.163,316.205,323.137,322.612,457.427,451.669,448.127,452.528,449.073,452.793,458.937,470.785,476.159,477.697,475.487,469.668,459.053,459.84,461.879,460.211,460.389,459.063,460.919,458.414,16.0788,17.2695,411.658,0.181077,0.0249769,0.021156
440.9,441.124,445.313,450.85,461.083,478.461,501.091,530.396,565.692,600.761,630.64,655.4,673.918,685.682,693.241,698.531,700.412,461.821,479.202,502.302,525.505,547.799,600.101,623.611,645.336,666.182,680.833,574.659,574.606,574.581,574.473,545.955,559.025,572.521,586.628,599.259,489.522,503.935,522.65,537.496,521.601,502.871,609.115,624.925,643.017,655.747,643.962,626.325,520.179,539.629,557.251,571.581,588.126,605.279,620.388,604.979,587.808,570.482,555.152,538,528.623,556.446,571.103,587.992,612.598,587.424,570.736,556.13,300.474,337.414,374.432,411.191,448.722,483.15,513.376,537.374,544.95,539.463,516.918,487.276,454.592,419.66,384.43,348.91,311.321,290.952,278.931,276.212,280.362,287.015,287.097,280.477,278.07,282.08,294.047,313.248,338.969,364.957,391.573,407.151,412.995,417.772,414.25,409.281,313.692,303.796,304.615,317.399,321.382,321.343,318.099,305.728,306.37,316.244,323.153,322.645,457.703,451.879,448.278,452.675,449.204,452.949,459.149,470.929,476.335,477.913,475.704,469.909,459.302,459.951,461.992,460.316,460.573,459.246,461.13,458.623,16.0897,17.322,411.249,0.180271,0.0249784,0.0206612
440.916,441.082,445.212,450.741,461.001,478.464,501.241,530.636,565.921,600.975,630.858,655.579,674.049,685.767,693.288,698.549,700.431,461.891,479.154,502.18,525.325,547.602,600.249,623.632,645.207,665.923,680.619,574.559,574.48,574.43,574.286,545.923,558.975,572.433,586.486,599.096,489.491,503.916,522.68,537.528,521.619,502.854,609.23,625.103,643.25,655.95,644.219,626.529,520.011,539.493,557.128,571.57,588.242,605.447,620.54,605.137,587.936,570.481,555.042,537.86,528.435,556.321,571.089,588.107,612.755,587.518,570.704,555.983,300.794,337.707,374.606,411.358,448.941,483.469,513.811,537.816,545.226,539.513,516.747,486.982,454.171,419.138,383.907,348.503,311.001,291.075,279.044,276.296,280.399,286.968,287.086,280.584,278.238,282.249,294.104,313.429,339.164,365.183,391.818,407.498,413.308,418.063,414.536,409.599,313.934,303.957,304.794,317.667,321.683,321.621,318.457,306.053,306.681,316.607,323.567,323.072,457.792,452.124,448.545,452.939,449.452,453.12,459.234,471.084,476.571,478.211,476.003,470.203,459.438,460.207,462.268,460.546,460.716,459.561,461.493,458.968,16.0914,17.4259,411.335,0.183408,0.0261409,0.0194269
440.732,441.03,445.177,450.728,460.975,478.435,501.095,530.477,565.841,600.957,630.942,655.609,673.987,685.596,692.975,698.293,700.334,461.566,478.644,501.707,524.947,547.358,600.182,623.754,645.423,666.127,680.63,574.354,574.295,574.248,574.111,545.795,558.797,572.232,586.298,598.881,489.574,503.89,522.297,537.054,521.358,503.012,608.981,624.638,642.482,655.157,643.319,625.961,520.334,539.454,556.881,571.307,587.878,604.886,619.621,604.521,587.524,570.15,554.747,537.805,528.729,556.071,570.819,587.714,611.855,587.124,570.408,555.713,301.063,338.087,374.949,411.547,449.153,483.666,513.975,537.91,545.367,539.499,516.593,486.749,453.937,418.862,383.67,348.292,310.892,291.682,279.567,276.782,281.06,287.782,288.024,281.459,278.986,282.9,294.613,314.434,339.898,365.658,392.063,407.445,413.309,418.103,414.535,409.511,314.809,305.47,306.154,318.101,322.194,322.188,319.102,307.631,308.344,317.596,324.324,323.751,458.511,452.528,448.869,453.314,449.904,453.673,460.061,471.686,477.022,478.619,476.381,470.65,460.114,460.509,462.58,460.984,461.474,459.911,461.791,459.287,16.0009,17.7272,412.229,0.190754,0.0283127,0.0183339
440.677,440.994,445.175,450.755,461.039,478.527,501.187,530.519,565.831,600.917,630.904,655.576,673.958,685.578,692.973,698.3,700.342,461.528,478.638,501.681,524.879,547.264,600.255,623.778,645.389,666.068,680.604,574.359,574.287,574.229,574.081,545.79,558.783,572.212,586.279,598.862,489.562,503.893,522.323,537.067,521.364,502.992,608.999,624.645,642.513,655.19,643.362,625.986,520.31,539.424,556.85,571.293,587.893,604.894,619.632,604.528,587.528,570.127,554.704,537.766,528.701,556.041,570.808,587.734,611.865,587.137,570.392,555.68,301.053,338.133,375.051,411.694,449.307,483.787,514.033,537.871,545.285,539.442,516.57,486.757,453.969,418.921,383.749,348.367,310.943,291.68,279.606,276.841,281.105,287.79,288.012,281.468,278.986,282.842,294.502,314.399,339.892,365.683,392.113,407.486,413.35,418.142,414.579,409.555,314.789,305.412,306.101,318.111,322.201,322.188,319.076,307.541,308.235,317.532,324.282,323.72,458.514,452.531,448.875,453.32,449.9,453.666,460.051,471.637,476.984,478.591,476.353,470.626,460.117,460.517,462.59,460.983,461.473,459.875,461.764,459.261,16.0019,17.7324,412.327,0.190379,0.0283284,0.018215
440.532,440.879,445.104,450.622,460.909,478.441,501.005,530.618,565.946,600.948,630.838,655.557,673.97,685.662,693.053,698.234,700.129,461.436,478.531,501.659,524.933,547.258,599.727,623.382,645.155,666.006,680.504,574.157,574.142,574.141,574.051,545.657,558.71,572.148,586.289,598.947,489.418,503.7,522.365,536.971,521.247,502.63,608.823,624.326,642.382,654.953,643.358,625.833,520.132,539.366,556.826,571.288,587.878,605.012,619.927,604.687,587.518,570.128,554.703,537.701,528.583,556.005,570.79,587.727,612.132,587.095,570.357,555.618,301.278,338.308,375.2,411.814,449.464,484.003,514.374,538.52,545.999,540.145,517.172,487.074,454.03,418.728,383.338,347.841,310.242,292.432,280.134,277.336,281.549,288.21,288.496,281.768,279.271,283.196,295.156,315.017,340.441,366.176,392.552,408.059,413.995,418.819,415.202,410.113,315.289,305.411,306.197,318.839,323.017,322.911,319.668,307.492,308.074,317.86,324.831,324.379,458.914,452.898,449.281,453.737,450.347,453.985,460.432,472.092,477.374,478.877,476.607,470.871,460.458,460.968,463.061,461.451,461.792,460.561,462.392,459.831,16.0076,17.9764,413.317,0.192749,0.0272086,0.0172186
440.309,440.688,444.957,450.597,460.949,478.482,501.001,530.614,566.159,601.385,631.426,656.034,674.233,685.714,692.956,698.148,700.086,461.566,478.692,501.693,524.882,547.185,599.559,623.423,645.284,666.095,680.374,573.912,573.896,573.888,573.802,545.6,558.554,571.943,586.077,598.696,489.763,503.941,522.374,536.897,521.371,503,608.255,623.602,641.444,654.024,642.381,625.084,520.079,539.196,556.618,571.133,587.779,604.883,619.656,604.522,587.413,569.971,554.479,537.526,528.488,555.808,570.643,587.633,611.913,586.961,570.18,555.399,301.491,338.641,375.7,412.41,450.184,484.768,515.17,539.314,546.776,540.736,517.372,486.89,453.634,418.21,382.901,347.514,309.912,293.037,281.036,278.229,282.432,289.017,289.084,282.302,279.745,283.796,295.638,315.778,341.436,367.42,394.022,409.032,415.053,419.931,416.234,411.038,316.16,306.607,307.318,319.398,323.627,323.603,320.114,308.455,309.078,318.448,325.318,324.811,459.886,453.986,450.412,454.921,451.543,455.076,461.348,473.114,478.401,479.95,477.604,471.85,461.526,462.122,464.243,462.637,462.792,461.338,463.184,460.6,15.9268,18.3974,412.977,0.205713,0.0300933,0.014535
440.347,440.655,444.792,450.206,460.53,478.135,500.588,530.237,565.593,600.7,630.791,655.707,673.996,685.534,692.842,697.994,699.981,460.918,477.994,501.233,524.639,547.084,599.581,623.535,645.428,666.315,680.53,573.802,573.661,573.553,573.382,545.19,558.193,571.53,585.651,598.291,489.245,503.512,522.367,536.756,521.102,502.286,608.525,623.968,642.17,654.616,643.207,625.567,519.308,538.779,556.419,570.832,587.392,604.591,619.636,604.218,586.992,569.657,554.251,537.034,527.77,555.622,570.362,587.288,611.83,586.567,569.864,555.178,302.246,339.173,376.062,412.793,450.765,485.626,516.347,540.922,548.316,541.745,517.61,486.508,453.061,417.738,382.764,347.98,310.892,294.634,282.34,279.446,283.593,290.205,290.379,283.661,281.122,285.173,297.194,317.224,342.751,368.649,395.17,410.566,416.533,421.374,417.688,412.488,317.28,307.228,308.132,321.086,325.381,325.156,321.599,309.172,309.665,319.626,326.856,326.474,460.745,455.23,451.785,456.196,452.739,455.964,461.907,473.973,479.484,481.121,478.918,473.192,462.401,463.53,465.604,463.856,463.484,462.641,464.64,462.132,15.8596,19.0068,414.177,0.208906,0.0287131,0.0150372
440.015,440.321,444.467,449.959,460.269,477.797,500.218,529.69,565.076,600.317,630.498,655.418,673.664,685.161,692.518,697.744,699.776,460.47,477.276,500.524,524.071,546.681,598.948,622.88,644.834,665.823,680.108,573.324,573.11,572.927,572.68,544.494,557.523,570.942,585.127,597.837,488.743,503.078,521.889,536.383,520.712,501.928,608.251,623.831,642.021,654.526,643.019,625.357,518.681,538.109,555.823,570.242,586.828,604.133,619.276,603.724,586.393,569.029,553.586,536.354,527.141,555.004,569.769,586.718,611.451,585.983,569.253,554.555,302.835,339.646,376.341,412.976,451.004,485.965,516.843,541.43,548.771,541.986,517.485,486.192,452.719,417.584,382.937,348.456,311.562,295.723,283.418,280.418,284.639,291.404,291.378,284.554,281.908,286,298.035,318.269,344.055,370.208,396.958,411.889,417.927,422.812,419.095,413.864,318.158,308.252,309.127,321.941,326.183,325.998,322.429,310.155,310.664,320.463,327.687,327.272,461.85,456.676,453.254,457.711,454.212,457.397,463.113,475.374,481.05,482.757,480.513,474.643,463.602,465.061,467.166,465.405,464.775,464,466.029,463.488,15.5763,19.4873,413.164,0.217955,0.0302022,0.0142422
438.539,438.866,443.013,448.728,458.888,476.029,498.278,527.194,563.021,599.145,630.041,655.282,673.372,684.555,691.805,697.119,699.356,458.563,475.302,498.535,522.21,544.927,596.531,620.853,643.321,664.456,678.658,570.958,570.499,570.078,569.626,541.937,554.828,568.242,582.43,595.118,486.461,500.795,519.256,534.005,518.361,499.922,606.019,621.875,639.799,652.564,640.61,623.1,517.086,535.918,553.436,567.602,583.997,601.269,616.323,600.758,583.549,566.358,551.146,534.221,525.392,552.683,567.187,583.926,608.464,583.211,566.642,552.222,304.263,340.76,377.07,413.288,451.136,486.017,517.118,542.263,550.019,542.777,517.257,485.398,451.73,416.89,383.111,349.653,313.756,297.139,285.604,282.934,287.7,295.139,294.961,288,284.954,289.047,300.659,321.941,347.95,374.303,401.219,414.959,421.155,426.147,422.463,417.132,320.565,311.664,312.559,324.478,328.547,328.396,325.449,314.167,314.875,323.765,330.858,330.283,464.369,459.716,456.387,460.941,457.494,460.679,466.008,478.531,484.417,486.202,483.876,477.749,466.311,468.051,470.209,468.576,467.709,467.156,469.22,466.644,14.3914,20.6919,410.264,0.243204,0.0407639,0.0122919
