Frames,mov_headvel,error_reason,dbm_master_url
0,,Pass,sample_data/subj02_timepoint02.mp4
1,0.41231056256174436,Pass,sample_data/subj02_timepoint02.mp4
2,0.8602325267042724,Pass,sample_data/subj02_timepoint02.mp4
3,1.2649110640673416,Pass,sample_data/subj02_timepoint02.mp4
4,1.0488088481701807,Pass,sample_data/subj02_timepoint02.mp4
5,1.1180339887498827,Pass,sample_data/subj02_timepoint02.mp4
6,3.6414282912066036,Pass,sample_data/subj02_timepoint02.mp4
7,4.148493702538331,Pass,sample_data/subj02_timepoint02.mp4
8,1.6552945357247177,Pass,sample_data/subj02_timepoint02.mp4
9,0.9165151389911833,Pass,sample_data/subj02_timepoint02.mp4
10,0.9486832980505235,Pass,sample_data/subj02_timepoint02.mp4
11,3.2526911934581633,Pass,sample_data/subj02_timepoint02.mp4
12,1.0488088481701512,Pass,sample_data/subj02_timepoint02.mp4
13,1.6062378404208673,Pass,sample_data/subj02_timepoint02.mp4
14,0.7141428428542738,Pass,sample_data/subj02_timepoint02.mp4
15,0.3162277660167947,Pass,sample_data/subj02_timepoint02.mp4
16,0.10000000000000142,Pass,sample_data/subj02_timepoint02.mp4
17,0.14142135623732532,Pass,sample_data/subj02_timepoint02.mp4
18,0.3162277660168486,Pass,sample_data/subj02_timepoint02.mp4
19,0.14142135623732532,Pass,sample_data/subj02_timepoint02.mp4
20,0.0999999999999659,Pass,sample_data/subj02_timepoint02.mp4
21,0.3316624790354997,Pass,sample_data/subj02_timepoint02.mp4
22,1.4035668847618101,Pass,sample_data/subj02_timepoint02.mp4
23,0.3316624790355501,Pass,sample_data/subj02_timepoint02.mp4
24,0.953939201416978,Pass,sample_data/subj02_timepoint02.mp4
25,1.0954451150103326,Pass,sample_data/subj02_timepoint02.mp4
26,0.4358898943540744,Pass,sample_data/subj02_timepoint02.mp4
27,2.6076809620810253,Pass,sample_data/subj02_timepoint02.mp4
28,0.7071067811865362,Pass,sample_data/subj02_timepoint02.mp4
29,0.5099019513592717,Pass,sample_data/subj02_timepoint02.mp4
30,0.0999999999999659,Pass,sample_data/subj02_timepoint02.mp4
31,1.3038404810405715,Pass,sample_data/subj02_timepoint02.mp4
32,2.1931712199461524,Pass,sample_data/subj02_timepoint02.mp4
33,1.8384776310850435,Pass,sample_data/subj02_timepoint02.mp4
34,2.453568829277064,Pass,sample_data/subj02_timepoint02.mp4
35,0.14142135623728513,Pass,sample_data/subj02_timepoint02.mp4
36,2.8722813232690143,Pass,sample_data/subj02_timepoint02.mp4
37,1.746424919657316,Pass,sample_data/subj02_timepoint02.mp4
38,3.313608305156158,Pass,sample_data/subj02_timepoint02.mp4
39,1.5652475842498463,Pass,sample_data/subj02_timepoint02.mp4
40,2.640075756488797,Pass,sample_data/subj02_timepoint02.mp4
41,1.2247448713915887,Pass,sample_data/subj02_timepoint02.mp4
42,1.3038404810405413,Pass,sample_data/subj02_timepoint02.mp4
43,0.7071067811865359,Pass,sample_data/subj02_timepoint02.mp4
44,1.835755975068601,Pass,sample_data/subj02_timepoint02.mp4
45,0.1414213562373266,Pass,sample_data/subj02_timepoint02.mp4
46,1.2806248474865702,Pass,sample_data/subj02_timepoint02.mp4
47,1.7916472867169073,Pass,sample_data/subj02_timepoint02.mp4
48,3.679673898594829,Pass,sample_data/subj02_timepoint02.mp4
49,1.5132745950421556,Pass,sample_data/subj02_timepoint02.mp4
50,3.7054014627298204,Pass,sample_data/subj02_timepoint02.mp4
51,2.3958297101421886,Pass,sample_data/subj02_timepoint02.mp4
52,5.326349594234295,Pass,sample_data/subj02_timepoint02.mp4
53,0.28284271247461046,Pass,sample_data/subj02_timepoint02.mp4
54,3.9408120990475797,Pass,sample_data/subj02_timepoint02.mp4
55,2.523885892824787,Pass,sample_data/subj02_timepoint02.mp4
56,3.4073450074801883,Pass,sample_data/subj02_timepoint02.mp4
57,3.652396473549962,Pass,sample_data/subj02_timepoint02.mp4
58,4.492215489043237,Pass,sample_data/subj02_timepoint02.mp4
59,0.5999999999999659,Pass,sample_data/subj02_timepoint02.mp4
60,1.9339079605813727,Pass,sample_data/subj02_timepoint02.mp4
61,2.891366458960174,Pass,sample_data/subj02_timepoint02.mp4
62,4.2391036788453285,Pass,sample_data/subj02_timepoint02.mp4
63,5.167204273105526,Pass,sample_data/subj02_timepoint02.mp4
64,1.7262676501631982,Pass,sample_data/subj02_timepoint02.mp4
65,0.0999999999999659,Pass,sample_data/subj02_timepoint02.mp4
66,2.94278779391241,Pass,sample_data/subj02_timepoint02.mp4
67,2.863564212655282,Pass,sample_data/subj02_timepoint02.mp4
68,0.9899494936611453,Pass,sample_data/subj02_timepoint02.mp4
69,0.5830951894845304,Pass,sample_data/subj02_timepoint02.mp4
70,0.3464101615137686,Pass,sample_data/subj02_timepoint02.mp4
71,0.30000000000001137,Pass,sample_data/subj02_timepoint02.mp4
72,0.3000000000000007,Pass,sample_data/subj02_timepoint02.mp4
73,0.8660254037844743,Pass,sample_data/subj02_timepoint02.mp4
74,2.05912602819741,Pass,sample_data/subj02_timepoint02.mp4
75,2.061552812808804,Pass,sample_data/subj02_timepoint02.mp4
76,2.027313493271341,Pass,sample_data/subj02_timepoint02.mp4
77,2.6400757564888306,Pass,sample_data/subj02_timepoint02.mp4
78,2.5079872407968913,Pass,sample_data/subj02_timepoint02.mp4
