frame,fac_asymmaskmouth,fac_asymmaskeyebrow,fac_asymmaskeye,fac_asymmaskcom,error_reason,face_id,timestamp,confidence,success,dbm_master_url
1,1.863787979521164,1.8204898315162292,0.6178824112175133,1.458949866371344,pass,0,0.0,0.98,1,sample_data/subj02_timepoint02.mp4
2,2.4512723608569145,1.566131343371877,0.617736255232296,1.6393291123741305,pass,0,0.033,0.98,1,sample_data/subj02_timepoint02.mp4
3,2.357325076965777,1.688801882697658,0.6473004700075716,1.6413901499610493,pass,0,0.067,0.98,1,sample_data/subj02_timepoint02.mp4
4,2.322723058724147,1.4657705321780041,0.6290653038849355,1.5623699449469899,pass,0,0.1,0.98,1,sample_data/subj02_timepoint02.mp4
5,2.2116024630371687,1.453984329110904,0.6722159203117554,1.5261072037748633,pass,0,0.133,0.98,1,sample_data/subj02_timepoint02.mp4
6,2.923478524723475,1.9228456140818522,0.8372861764659122,2.0013564908943438,pass,0,0.16699999999999998,0.98,1,sample_data/subj02_timepoint02.mp4
7,2.881640142709947,1.9056621168668908,0.3224276892717641,1.8166314664023482,pass,0,0.2,0.98,1,sample_data/subj02_timepoint02.mp4
8,3.4711996880861795,1.5770601300567326,0.8278475775542509,2.1379991379104526,pass,0,0.233,0.98,1,sample_data/subj02_timepoint02.mp4
9,3.357022901498441,1.8411777835816334,0.9626413140880566,2.201995790232844,pass,0,0.267,0.98,1,sample_data/subj02_timepoint02.mp4
10,3.0684711090095322,1.8637513033656696,0.8056450429387821,2.036862928765121,pass,0,0.3,0.98,1,sample_data/subj02_timepoint02.mp4
11,2.1297170302049415,1.322202131789124,0.4666687141996122,1.3920399571464643,pass,0,0.33299999999999996,0.98,1,sample_data/subj02_timepoint02.mp4
12,2.0853244804436573,1.3591936459289713,0.608457265824819,1.4278582983233172,pass,0,0.36700000000000005,0.98,1,sample_data/subj02_timepoint02.mp4
13,2.407968702914193,1.4811450686031096,0.6777489617135575,1.6176825650847597,pass,0,0.4,0.98,1,sample_data/subj02_timepoint02.mp4
14,2.3327227641114154,1.5856797160845473,0.8048033584520318,1.6536316233698027,pass,0,0.433,0.98,1,sample_data/subj02_timepoint02.mp4
15,1.9536541895680872,1.539672848244512,0.7198197225276758,1.4550797943649112,pass,0,0.467,0.98,1,sample_data/subj02_timepoint02.mp4
16,2.1425233963132775,1.5911347706455565,0.7865619778662318,1.569222783733231,pass,0,0.5,0.98,1,sample_data/subj02_timepoint02.mp4
17,2.1243748361711754,1.480494850318777,0.7487922677546912,1.5205382393416544,pass,0,0.5329999999999999,0.98,1,sample_data/subj02_timepoint02.mp4
18,2.5683296743318516,1.668631785511041,1.025298115913656,1.8442939482995764,pass,0,0.5670000000000001,0.98,1,sample_data/subj02_timepoint02.mp4
