mov_hposepitch,mov_hposeyaw,mov_hposeroll,mov_hposedist,error_reason,dbm_master_url
0.11599999999999999,0.065,0.02,,Pass,sample_data/subj01_timepoint01.mp4
0.11900000000000001,0.054000000000000006,0.023,0.011789826122551595,Pass,sample_data/subj01_timepoint01.mp4
0.11800000000000001,0.047,0.025,0.0073484692283495405,Pass,sample_data/subj01_timepoint01.mp4
0.096,0.043,0.024,0.022383029285599397,Pass,sample_data/subj01_timepoint01.mp4
0.09300000000000001,0.042,0.026000000000000002,0.0037416573867739317,Pass,sample_data/subj01_timepoint01.mp4
0.105,0.046,0.026000000000000002,0.0126491106406735,Pass,sample_data/subj01_timepoint01.mp4
0.11699999999999999,0.048,0.026000000000000002,0.012165525060596436,Pass,sample_data/subj01_timepoint01.mp4
0.11800000000000001,0.054000000000000006,0.027000000000000003,0.0061644140029689844,Pass,sample_data/subj01_timepoint01.mp4
0.121,0.059000000000000004,0.027000000000000003,0.0058309518948452925,Pass,sample_data/subj01_timepoint01.mp4
0.125,0.06,0.026000000000000002,0.0042426406871192875,Pass,sample_data/subj01_timepoint01.mp4
0.127,0.06,0.025,0.0022360679774997916,Pass,sample_data/subj01_timepoint01.mp4
0.124,0.062,0.024,0.0037416573867739447,Pass,sample_data/subj01_timepoint01.mp4
0.125,0.064,0.023,0.0024494897427831805,Pass,sample_data/subj01_timepoint01.mp4
0.124,0.062,0.024,0.0024494897427831805,Pass,sample_data/subj01_timepoint01.mp4
0.126,0.062,0.026000000000000002,0.0028284271247461927,Pass,sample_data/subj01_timepoint01.mp4
0.126,0.06,0.026000000000000002,0.0020000000000000018,Pass,sample_data/subj01_timepoint01.mp4
0.129,0.059000000000000004,0.027999999999999997,0.003741657386773939,Pass,sample_data/subj01_timepoint01.mp4
0.131,0.06,0.027000000000000003,0.002449489742783175,Pass,sample_data/subj01_timepoint01.mp4
0.133,0.061,0.026000000000000002,0.0024494897427831805,Pass,sample_data/subj01_timepoint01.mp4
0.133,0.063,0.023,0.0036055512754639926,Pass,sample_data/subj01_timepoint01.mp4
0.134,0.063,0.023,0.0010000000000000009,Pass,sample_data/subj01_timepoint01.mp4
0.13699999999999998,0.061,0.023,0.0036055512754639696,Pass,sample_data/subj01_timepoint01.mp4
0.139,0.061,0.023,0.0020000000000000295,Pass,sample_data/subj01_timepoint01.mp4
0.13699999999999998,0.063,0.02,0.004123105625617675,Pass,sample_data/subj01_timepoint01.mp4
0.135,0.063,0.02,0.001999999999999974,Pass,sample_data/subj01_timepoint01.mp4
0.13699999999999998,0.063,0.019,0.002236067977499767,Pass,sample_data/subj01_timepoint01.mp4
0.136,0.063,0.02,0.0014142135623730766,Pass,sample_data/subj01_timepoint01.mp4
0.13699999999999998,0.065,0.019,0.0024494897427831687,Pass,sample_data/subj01_timepoint01.mp4
0.136,0.064,0.02,0.0017320508075688629,Pass,sample_data/subj01_timepoint01.mp4
0.136,0.065,0.018000000000000002,0.0022360679774997886,Pass,sample_data/subj01_timepoint01.mp4
0.139,0.066,0.018000000000000002,0.003162277660168382,Pass,sample_data/subj01_timepoint01.mp4
0.13699999999999998,0.067,0.017,0.002449489742783203,Pass,sample_data/subj01_timepoint01.mp4
0.13699999999999998,0.065,0.019,0.00282842712474619,Pass,sample_data/subj01_timepoint01.mp4
0.136,0.066,0.018000000000000002,0.001732050807568861,Pass,sample_data/subj01_timepoint01.mp4
0.135,0.065,0.019,0.0017320508075688767,Pass,sample_data/subj01_timepoint01.mp4
0.132,0.065,0.019,0.0030000000000000027,Pass,sample_data/subj01_timepoint01.mp4
