frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c, AU09_c, AU23_r,s_confidence,fac_hapintsoft,fac_sadintsoft,fac_surintsoft,fac_feaintsoft,fac_angintsoft,fac_disintsoft,fac_conintsoft,fac_paiintsoft,fac_negintsoft,fac_posintsoft,neu_exp,fac_comlowintsoft,fac_comuppintsoft,cai_exp,fac_comintsoft,fac_happres,fac_sadpres,fac_surpres,fac_feapres,fac_angpres,fac_dispres,fac_conpres,fac_hapinthard,fac_sadinthard,fac_surinthard,fac_feainthard,fac_anginthard,fac_disinthard,fac_coninthard,fac_paiinthard,fac_neginthard,fac_posinthard,neu_exp_full,cai_exp_full,fac_comlowinthard,fac_comuppinthard,fac_cominthard,error_reason,dbm_master_url
1,0,0.0,0.98,1,0.0,0.0,0.0,0.0,1.04,1.36,0.0,0.99,0.64,2.01,0.0,0.41,0.0,0.08,0.57,0.03,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.9800000000000001,0.17333333333333334,0.0,0.0,0.0,0.0,0.0,0.33499999999999996,0.1691666666666667,0.06699999999999999,0.17333333333333334,0.0,0.33499999999999996,0.17333333333333334,0.5083333333333333,0.07261904761904761,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.17333333333333334,0.0,Pass,sample_data/subj02_timepoint02.mp4
2,0,0.033,0.98,1,0.0,0.0,0.0,0.0,1.07,1.48,0.09,0.92,0.57,1.93,0.0,0.38,0.0,0.03,0.44,0.08,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.9800000000000001,0.17833333333333334,0.0,0.0,0.0,0.0,0.0,0.32166666666666666,0.16583333333333336,0.06433333333333333,0.17833333333333334,0.0,0.32166666666666666,0.17833333333333334,0.5,0.07142857142857142,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.17833333333333334,0.0,Pass,sample_data/subj02_timepoint02.mp4
3,0,0.067,0.98,1,0.0,0.0,0.0,0.0,1.09,1.54,0.13,0.92,0.52,1.92,0.0,0.38,0.0,0.01,0.37,0.12,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.9800000000000001,0.18166666666666667,0.0,0.0,0.0,0.0,0.0,0.32,0.1675,0.064,0.18166666666666667,0.0,0.32,0.18166666666666667,0.5016666666666667,0.07166666666666667,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.18166666666666667,0.0,Pass,sample_data/subj02_timepoint02.mp4
4,0,0.1,0.98,1,0.0,0.0,0.0,0.0,1.08,1.58,0.07,0.91,0.51,1.84,0.0,0.44,0.02,0.0,0.4,0.06,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.9800000000000001,0.18000000000000002,0.0,0.0,0.0,0.0,0.0,0.3066666666666667,0.16583333333333336,0.06133333333333334,0.18000000000000002,0.0,0.3066666666666667,0.18000000000000002,0.4866666666666667,0.06952380952380953,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.18000000000000002,0.0,Pass,sample_data/subj02_timepoint02.mp4
5,0,0.133,0.98,1,0.0,0.0,0.0,0.0,1.12,1.6,0.04,0.98,0.55,1.91,0.0,0.44,0.02,0.0,0.36,0.36,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.9800000000000001,0.18666666666666668,0.0,0.0,0.0,0.0,0.0,0.3183333333333333,0.17500000000000002,0.06366666666666666,0.18666666666666668,0.0,0.3183333333333333,0.18666666666666668,0.505,0.07214285714285715,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.18666666666666668,0.0,Pass,sample_data/subj02_timepoint02.mp4
6,0,0.16699999999999998,0.98,1,0.14,0.0,0.0,0.0,1.06,1.88,0.0,1.08,0.63,1.91,0.0,0.33,0.02,0.0,0.32,0.94,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9800000000000001,0.17666666666666667,0.0,0.0,0.0,0.0,0.0,0.3183333333333333,0.17833333333333334,0.06366666666666666,0.17666666666666667,0.0,0.3183333333333333,0.17666666666666667,0.495,0.07071428571428572,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.17666666666666667,0.0,Pass,sample_data/subj02_timepoint02.mp4
7,0,0.2,0.98,1,0.18,0.0,0.0,0.0,1.03,1.86,0.0,1.24,0.67,2.14,0.05,0.29,0.03,0.0,0.27,1.58,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9800000000000001,0.17166666666666666,0.0,0.0,0.0,0.0,0.0,0.3566666666666667,0.18916666666666668,0.07133333333333333,0.17166666666666666,0.0,0.3566666666666667,0.17166666666666666,0.5283333333333333,0.07547619047619047,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.17166666666666666,0.0,Pass,sample_data/subj02_timepoint02.mp4
8,0,0.233,0.98,1,0.18,0.0,0.0,0.0,1.05,1.91,0.0,1.24,0.71,2.25,0.05,0.33,0.05,0.05,0.25,1.89,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9800000000000001,0.17500000000000002,0.0,0.0,0.3183333333333333,0.3183333333333333,0.0,0.375,0.23333333333333334,0.20233333333333334,0.17500000000000002,0.0,0.375,0.8116666666666665,0.8683333333333333,0.1695238095238095,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.17500000000000002,0.0,Pass,sample_data/subj02_timepoint02.mp4
9,0,0.267,0.98,1,0.04,0.0,0.0,0.0,1.11,1.89,0.0,1.22,0.68,2.18,0.05,0.43,0.05,0.06,0.19,1.73,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9800000000000001,0.18500000000000003,0.0,0.0,0.315,0.315,0.0,0.36333333333333334,0.23444444444444443,0.19866666666666669,0.18500000000000003,0.0,0.36333333333333334,0.815,0.8633333333333333,0.1683333333333333,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.18500000000000003,0.0,Pass,sample_data/subj02_timepoint02.mp4
10,0,0.3,0.98,1,0.0,0.0,0.0,0.0,1.11,1.94,0.0,1.14,0.64,2.0,0.0,0.29,0.02,0.06,0.09,1.16,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9800000000000001,0.18500000000000003,0.0,0.0,0.3233333333333333,0.3233333333333333,0.0,0.3333333333333333,0.23277777777777775,0.196,0.18500000000000003,0.0,0.3333333333333333,0.8316666666666666,0.8416666666666666,0.1664285714285714,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.18500000000000003,0.0,Pass,sample_data/subj02_timepoint02.mp4
