mov_hposepitch,mov_hposeyaw,mov_hposeroll,mov_hposedist,error_reason,dbm_master_url
0.12300000000000001,0.081,0.027999999999999997,,Pass,sample_data/subj01_timepoint02.mp4
0.11800000000000001,0.077,0.043,0.016309506430300092,Pass,sample_data/subj01_timepoint02.mp4
0.114,0.076,0.055,0.012688577540449525,Pass,sample_data/subj01_timepoint02.mp4
0.11599999999999999,0.079,0.063,0.00877496438739212,Pass,sample_data/subj01_timepoint02.mp4
0.10800000000000001,0.081,0.07400000000000001,0.013747727084867515,Pass,sample_data/subj01_timepoint02.mp4
0.10800000000000001,0.084,0.08,0.006708203932499363,Pass,sample_data/subj01_timepoint02.mp4
0.106,0.083,0.086,0.006403124237432846,Pass,sample_data/subj01_timepoint02.mp4
0.106,0.083,0.08800000000000001,0.0020000000000000157,Pass,sample_data/subj01_timepoint02.mp4
0.105,0.08,0.091,0.004358898943540668,Pass,sample_data/subj01_timepoint02.mp4
0.10800000000000001,0.078,0.092,0.003741657386773956,Pass,sample_data/subj01_timepoint02.mp4
0.10800000000000001,0.079,0.094,0.0022360679774997916,Pass,sample_data/subj01_timepoint02.mp4
0.107,0.077,0.09300000000000001,0.0024494897427831805,Pass,sample_data/subj01_timepoint02.mp4
0.111,0.08,0.087,0.007810249675906672,Pass,sample_data/subj01_timepoint02.mp4
0.10400000000000001,0.078,0.084,0.007874007874011801,Pass,sample_data/subj01_timepoint02.mp4
0.11199999999999999,0.085,0.07400000000000001,0.014594519519326412,Pass,sample_data/subj01_timepoint02.mp4
0.11199999999999999,0.086,0.065,0.009055385138137423,Pass,sample_data/subj01_timepoint02.mp4
0.126,0.08800000000000001,0.053,0.018547236990991423,Pass,sample_data/subj01_timepoint02.mp4
0.127,0.08900000000000001,0.045,0.00812403840463596,Pass,sample_data/subj01_timepoint02.mp4
0.11699999999999999,0.091,0.038,0.012369316876852986,Pass,sample_data/subj01_timepoint02.mp4
0.115,0.086,0.027000000000000003,0.012247448713915886,Pass,sample_data/subj01_timepoint02.mp4
0.114,0.08800000000000001,0.013000000000000001,0.01417744687875783,Pass,sample_data/subj01_timepoint02.mp4
0.11599999999999999,0.086,0.002,0.01135781669160055,Pass,sample_data/subj01_timepoint02.mp4
0.11800000000000001,0.087,-0.009000000000000001,0.011224972160321828,Pass,sample_data/subj01_timepoint02.mp4
0.11900000000000001,0.08,-0.021,0.013928388277184116,Pass,sample_data/subj01_timepoint02.mp4
0.115,0.077,-0.035,0.014866068747318509,Pass,sample_data/subj01_timepoint02.mp4
0.11599999999999999,0.084,-0.045,0.01224744871391589,Pass,sample_data/subj01_timepoint02.mp4
0.11800000000000001,0.086,-0.055999999999999994,0.011357816691600544,Pass,sample_data/subj01_timepoint02.mp4
0.126,0.095,-0.067,0.0163095064303001,Pass,sample_data/subj01_timepoint02.mp4
0.122,0.087,-0.075,0.012000000000000002,Pass,sample_data/subj01_timepoint02.mp4
0.126,0.08900000000000001,-0.08800000000000001,0.013747727084867534,Pass,sample_data/subj01_timepoint02.mp4
0.126,0.087,-0.095,0.007280109889280515,Pass,sample_data/subj01_timepoint02.mp4
0.128,0.08800000000000001,-0.10099999999999999,0.006403124237432844,Pass,sample_data/subj01_timepoint02.mp4
0.129,0.08900000000000001,-0.109,0.008124038404635967,Pass,sample_data/subj01_timepoint02.mp4
0.129,0.087,-0.11199999999999999,0.0036055512754639887,Pass,sample_data/subj01_timepoint02.mp4
0.131,0.087,-0.114,0.0028284271247462026,Pass,sample_data/subj01_timepoint02.mp4
0.131,0.094,-0.114,0.007000000000000006,Pass,sample_data/subj01_timepoint02.mp4
0.134,0.08900000000000001,-0.114,0.005830951894845293,Pass,sample_data/subj01_timepoint02.mp4
0.131,0.086,-0.109,0.006557438524302013,Pass,sample_data/subj01_timepoint02.mp4
0.124,0.08199999999999999,-0.10300000000000001,0.01004987562112089,Pass,sample_data/subj01_timepoint02.mp4
0.127,0.079,-0.094,0.009949874371066205,Pass,sample_data/subj01_timepoint02.mp4
0.125,0.076,-0.085,0.009695359714832654,Pass,sample_data/subj01_timepoint02.mp4
0.125,0.07400000000000001,-0.075,0.010198039027185576,Pass,sample_data/subj01_timepoint02.mp4
0.122,0.071,-0.065,0.010862780491200217,Pass,sample_data/subj01_timepoint02.mp4
0.128,0.066,-0.054000000000000006,0.013490737563232037,Pass,sample_data/subj01_timepoint02.mp4
0.128,0.069,-0.043,0.01140175425099139,Pass,sample_data/subj01_timepoint02.mp4
0.121,0.064,-0.022000000000000002,0.02269361143582043,Pass,sample_data/subj01_timepoint02.mp4
0.11,0.062,-0.004,0.02118962010041709,Pass,sample_data/subj01_timepoint02.mp4
0.106,0.054000000000000006,0.017,0.022825424421026655,Pass,sample_data/subj01_timepoint02.mp4
0.11800000000000001,0.052000000000000005,0.034,0.02090454496036688,Pass,sample_data/subj01_timepoint02.mp4
0.115,0.046,0.051,0.01827566688249706,Pass,sample_data/subj01_timepoint02.mp4
0.12,0.049,0.066,0.016093476939431084,Pass,sample_data/subj01_timepoint02.mp4
0.11800000000000001,0.049,0.083,0.01711724276862369,Pass,sample_data/subj01_timepoint02.mp4
0.115,0.05,0.098,0.015329709716755891,Pass,sample_data/subj01_timepoint02.mp4
0.122,0.049,0.111,0.014798648586948737,Pass,sample_data/subj01_timepoint02.mp4
0.12300000000000001,0.052000000000000005,0.12,0.009539392014169453,Pass,sample_data/subj01_timepoint02.mp4
0.12300000000000001,0.054000000000000006,0.127,0.007280109889280525,Pass,sample_data/subj01_timepoint02.mp4
