frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c, AU09_c, AU23_r,s_confidence,fac_hapintsoft,fac_sadintsoft,fac_surintsoft,fac_feaintsoft,fac_angintsoft,fac_disintsoft,fac_conintsoft,fac_paiintsoft,fac_negintsoft,fac_posintsoft,neu_exp,fac_comlowintsoft,fac_comuppintsoft,cai_exp,fac_comintsoft,fac_happres,fac_sadpres,fac_surpres,fac_feapres,fac_angpres,fac_dispres,fac_conpres,fac_hapinthard,fac_sadinthard,fac_surinthard,fac_feainthard,fac_anginthard,fac_disinthard,fac_coninthard,fac_paiinthard,fac_neginthard,fac_posinthard,neu_exp_full,cai_exp_full,fac_comlowinthard,fac_comuppinthard,fac_cominthard,error_reason,dbm_master_url
1,0,0.0,0.98,1,0.0,0.0,0.0,0.0,1.05,2.52,0.0,1.17,1.01,0.85,0.0,0.23,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000001,0.17166666666666666,0.0,0.0,0.42,0.42,0.0,0.155,0.23958333333333334,0.199,0.17166666666666666,0.0,0.32333333333333336,1.015,0.7466666666666667,0.16666666666666669,1,0,0,0,0,0,1,0.17166666666666666,0,0,0,0,0,0.155,0,0.031,0.17166666666666666,0,0.32666666666666666,0.32333333333333336,0.17500000000000002,0.04666666666666667,Pass,sample_data/subj01_timepoint02.mp4
2,0,0.033,0.98,1,0.0,0.0,0.0,0.0,0.94,2.56,0.0,1.23,0.99,1.02,0.0,0.26,0.0,0.01,0.39,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.9800000000000001,0.16083333333333333,0.0,0.0,0.4266666666666667,0.4266666666666667,0.0,0.16749999999999998,0.23833333333333337,0.2041666666666667,0.16083333333333333,0.0,0.3325,1.01,0.755,0.1688095238095238,1,0,0,0,0,0,1,0.16083333333333333,0,0,0,0,0,0.16749999999999998,0,0.033499999999999995,0.16083333333333333,0,0.3283333333333333,0.3325,0.15666666666666665,0.0469047619047619,Pass,sample_data/subj01_timepoint02.mp4
3,0,0.067,0.98,1,0.0,0.0,0.0,0.04,0.88,2.56,0.0,1.21,0.95,1.1,0.0,0.31,0.0,0.01,0.25,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.9800000000000001,0.1525,0.0,0.0,0.4266666666666667,0.4266666666666667,0.0,0.1708333333333333,0.23333333333333336,0.20483333333333334,0.1525,0.0,0.3291666666666666,1.0,0.75,0.1680952380952381,1,0,0,0,0,0,1,0.1525,0,0,0,0,0,0.1708333333333333,0,0.034166666666666665,0.1525,0,0.3233333333333333,0.3291666666666666,0.14666666666666667,0.046190476190476185,Pass,sample_data/subj01_timepoint02.mp4
4,0,0.1,0.98,1,0.0,0.0,0.0,0.04,0.91,2.45,0.0,1.2,0.94,1.11,0.0,0.38,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.9800000000000001,0.15416666666666667,0.0,0.0,0.4083333333333334,0.4083333333333334,0.0,0.1708333333333333,0.22916666666666666,0.1975,0.15416666666666667,0.0,0.32749999999999996,0.9683333333333335,0.7333333333333333,0.16309523809523813,1,0,0,0,0,0,1,0.15416666666666667,0,0,0,0,0,0.1708333333333333,0,0.034166666666666665,0.15416666666666667,0,0.32499999999999996,0.32749999999999996,0.15166666666666667,0.04642857142857142,Pass,sample_data/subj01_timepoint02.mp4
5,0,0.133,0.98,1,0.0,0.0,0.0,0.04,0.92,2.39,0.0,1.15,0.92,1.06,0.0,0.45,0.0,0.01,0.14,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000001,0.15333333333333335,0.0,0.0,0.3983333333333334,0.3983333333333334,0.0,0.165,0.22416666666666665,0.19233333333333336,0.15333333333333335,0.0,0.31833333333333336,0.9500000000000002,0.7166666666666668,0.1592857142857143,1,0,0,0,0,0,1,0.15333333333333335,0,0,0,0,0,0.165,0,0.033,0.15333333333333335,0,0.31833333333333336,0.31833333333333336,0.15333333333333335,0.04547619047619048,Pass,sample_data/subj01_timepoint02.mp4
6,0,0.16699999999999998,0.98,1,0.0,0.0,0.0,0.0,0.92,2.29,0.0,1.15,0.95,1.05,0.0,0.48,0.0,0.01,0.12,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000001,0.15583333333333335,0.0,0.0,0.38166666666666665,0.38166666666666665,0.0,0.16666666666666666,0.22124999999999997,0.186,0.15583333333333335,0.0,0.32499999999999996,0.9166666666666667,0.7041666666666666,0.15511904761904763,1,0,0,0,0,0,1,0.15583333333333335,0,0,0,0,0,0.16666666666666666,0,0.03333333333333333,0.15583333333333335,0,0.3225,0.32499999999999996,0.15333333333333335,0.046071428571428576,Pass,sample_data/subj01_timepoint02.mp4
7,0,0.2,0.98,1,0.0,0.0,0.0,0.0,0.89,2.3,0.0,1.1,0.96,1.07,0.0,0.52,0.0,0.06,0.07,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000001,0.15416666666666667,0.0,0.0,0.3833333333333333,0.3833333333333333,0.0,0.1691666666666667,0.21875,0.18716666666666665,0.15416666666666667,0.0,0.3291666666666667,0.9149999999999999,0.7066666666666667,0.1557142857142857,1,0,0,0,0,0,1,0.15416666666666667,0,0,0,0,0,0.1691666666666667,0,0.03383333333333334,0.15416666666666667,0,0.32333333333333336,0.3291666666666667,0.14833333333333334,0.04619047619047619,Pass,sample_data/subj01_timepoint02.mp4
8,0,0.233,0.98,1,0.0,0.0,0.0,0.0,0.92,2.36,0.0,1.08,0.98,1.08,0.0,0.41,0.0,0.17,0.05,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000001,0.15833333333333333,0.0,0.0,0.3933333333333333,0.3933333333333333,0.0,0.17166666666666666,0.2225,0.19166666666666665,0.15833333333333333,0.0,0.33499999999999996,0.94,0.7233333333333333,0.15952380952380954,1,0,0,0,0,0,1,0.15833333333333333,0,0,0,0,0,0.17166666666666666,0,0.034333333333333334,0.15833333333333333,0,0.32999999999999996,0.33499999999999996,0.15333333333333335,0.04714285714285714,Pass,sample_data/subj01_timepoint02.mp4
9,0,0.267,0.98,1,0.0,0.0,0.0,0.0,0.93,2.57,0.0,1.05,0.96,1.1,0.0,0.38,0.0,0.19,0.02,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000001,0.1575,0.0,0.0,0.4283333333333333,0.4283333333333333,0.0,0.17166666666666666,0.22958333333333333,0.20566666666666666,0.1575,0.0,0.33166666666666667,1.0116666666666665,0.7575,0.1694047619047619,1,0,0,0,0,0,1,0.1575,0,0,0,0,0,0.17166666666666666,0,0.034333333333333334,0.1575,0,0.32916666666666666,0.33166666666666667,0.155,0.04702380952380952,Pass,sample_data/subj01_timepoint02.mp4
10,0,0.3,0.98,1,0.0,0.0,0.0,0.0,0.92,2.66,0.0,1.01,0.92,1.09,0.0,0.33,0.0,0.22,0.02,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000001,0.15333333333333335,0.0,0.0,0.44333333333333336,0.44333333333333336,0.0,0.1675,0.22958333333333333,0.21083333333333334,0.15333333333333335,0.0,0.32083333333333336,1.04,0.7641666666666667,0.17250000000000001,1,0,0,0,0,0,1,0.15333333333333335,0,0,0,0,0,0.1675,0,0.0335,0.15333333333333335,0,0.32083333333333336,0.32083333333333336,0.15333333333333335,0.04583333333333334,Pass,sample_data/subj01_timepoint02.mp4
